RAM 1506/7852MB (lfb 1192x4MB) SWAP 0/3926MB (cached 0MB) CPU [16%@806,off,off,0%@806,40%@806,16%@806] EMC_FREQ 0% GR3D_FREQ 68% PLL@31.5C MCPU@31.5C PMIC@100C Tboard@28C GPU@30C BCPU@31.5C thermal@30.6C Tdiode@29.25C VDD_SYS_GPU 153/153 VDD_SYS_SOC 460/460 VDD_4V0_WIFI 0/0 VDD_IN 2644/2644 VDD_SYS_CPU 383/383 VDD_SYS_DDR 496/496
RAM 1506/7852MB (lfb 1192x4MB) SWAP 0/3926MB (cached 0MB) CPU [16%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@31.5C MCPU@31.5C PMIC@100C Tboard@28C GPU@30C BCPU@31.5C thermal@30.6C Tdiode@29.25C VDD_SYS_GPU 153/153 VDD_SYS_SOC 460/460 VDD_4V0_WIFI 0/0 VDD_IN 2567/2605 VDD_SYS_CPU 383/383 VDD_SYS_DDR 477/486
RAM 1506/7852MB (lfb 1192x4MB) SWAP 0/3926MB (cached 0MB) CPU [0%@345,off,off,16%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@31C MCPU@31C PMIC@100C Tboard@28C GPU@30C BCPU@31C thermal@30.6C Tdiode@29.25C VDD_SYS_GPU 153/153 VDD_SYS_SOC 383/434 VDD_4V0_WIFI 0/0 VDD_IN 2490/2567 VDD_SYS_CPU 383/383 VDD_SYS_DDR 439/470
RAM 1506/7852MB (lfb 1192x4MB) SWAP 0/3926MB (cached 0MB) CPU [16%@345,off,off,14%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@31C MCPU@31C PMIC@100C Tboard@28C GPU@30C BCPU@31C thermal@30.6C Tdiode@29.25C VDD_SYS_GPU 153/153 VDD_SYS_SOC 383/421 VDD_4V0_WIFI 0/0 VDD_IN 2414/2528 VDD_SYS_CPU 306/363 VDD_SYS_DDR 420/458
RAM 1506/7852MB (lfb 1192x4MB) SWAP 0/3926MB (cached 0MB) CPU [0%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@31C MCPU@31C PMIC@100C Tboard@28C GPU@30C BCPU@31C thermal@30.6C Tdiode@29.25C VDD_SYS_GPU 153/153 VDD_SYS_SOC 383/413 VDD_4V0_WIFI 0/0 VDD_IN 2338/2490 VDD_SYS_CPU 306/352 VDD_SYS_DDR 401/446
RAM 1506/7852MB (lfb 1192x4MB) SWAP 0/3926MB (cached 0MB) CPU [28%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@31.5C MCPU@31.5C PMIC@100C Tboard@28C GPU@30C BCPU@31.5C thermal@30.6C Tdiode@29.25C VDD_SYS_GPU 153/153 VDD_SYS_SOC 383/408 VDD_4V0_WIFI 0/0 VDD_IN 2300/2458 VDD_SYS_CPU 306/344 VDD_SYS_DDR 382/435
RAM 1506/7852MB (lfb 1192x4MB) SWAP 0/3926MB (cached 0MB) CPU [0%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@31C MCPU@31C PMIC@100C Tboard@28C GPU@30C BCPU@31C thermal@30.6C Tdiode@29.25C VDD_SYS_GPU 153/153 VDD_SYS_SOC 383/405 VDD_4V0_WIFI 0/0 VDD_IN 2261/2430 VDD_SYS_CPU 306/339 VDD_SYS_DDR 362/425
RAM 1506/7852MB (lfb 1192x4MB) SWAP 0/3926MB (cached 0MB) CPU [28%@345,off,off,16%@345,0%@345,16%@345] EMC_FREQ 0% GR3D_FREQ 15% PLL@31C MCPU@31C PMIC@100C Tboard@28C GPU@30C BCPU@31C thermal@30.6C Tdiode@29.25C VDD_SYS_GPU 153/153 VDD_SYS_SOC 383/402 VDD_4V0_WIFI 0/0 VDD_IN 2261/2409 VDD_SYS_CPU 229/325 VDD_SYS_DDR 362/417
RAM 1506/7852MB (lfb 1192x4MB) SWAP 0/3926MB (cached 0MB) CPU [14%@345,off,off,14%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@31C MCPU@31C PMIC@100C Tboard@28C GPU@30C BCPU@31C thermal@30.6C Tdiode@29.25C VDD_SYS_GPU 153/153 VDD_SYS_SOC 383/400 VDD_4V0_WIFI 0/0 VDD_IN 2185/2384 VDD_SYS_CPU 229/314 VDD_SYS_DDR 343/409
RAM 1506/7852MB (lfb 1192x4MB) SWAP 0/3926MB (cached 0MB) CPU [0%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@31C MCPU@31C PMIC@100C Tboard@28C GPU@30C BCPU@31C thermal@30.6C Tdiode@29.25C VDD_SYS_GPU 153/153 VDD_SYS_SOC 383/398 VDD_4V0_WIFI 0/0 VDD_IN 2185/2364 VDD_SYS_CPU 229/306 VDD_SYS_DDR 324/400
RAM 1506/7852MB (lfb 1192x4MB) SWAP 0/3926MB (cached 0MB) CPU [16%@345,off,off,0%@345,0%@345,14%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@31C MCPU@31C PMIC@100C Tboard@28C GPU@30C BCPU@31C thermal@30.6C Tdiode@29.25C VDD_SYS_GPU 153/153 VDD_SYS_SOC 383/397 VDD_4V0_WIFI 0/0 VDD_IN 2146/2344 VDD_SYS_CPU 229/299 VDD_SYS_DDR 324/393
