RAM 1515/7852MB (lfb 1188x4MB) SWAP 0/3926MB (cached 0MB) CPU [0%@499,off,off,0%@499,16%@499,16%@499] EMC_FREQ 0% GR3D_FREQ 0% PLL@33C MCPU@33C PMIC@100C Tboard@29C GPU@31.5C BCPU@33C thermal@32.4C Tdiode@30.5C VDD_SYS_GPU 229/229 VDD_SYS_SOC 689/689 VDD_4V0_WIFI 0/0 VDD_IN 3142/3142 VDD_SYS_CPU 229/229 VDD_SYS_DDR 840/840
RAM 1515/7852MB (lfb 1188x4MB) SWAP 0/3926MB (cached 0MB) CPU [28%@345,off,off,0%@345,0%@345,14%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@33C MCPU@33C PMIC@100C Tboard@29C GPU@31.5C BCPU@33C thermal@32.4C Tdiode@30.5C VDD_SYS_GPU 229/229 VDD_SYS_SOC 689/689 VDD_4V0_WIFI 0/0 VDD_IN 3142/3142 VDD_SYS_CPU 229/229 VDD_SYS_DDR 840/840
RAM 1515/7852MB (lfb 1188x4MB) SWAP 0/3926MB (cached 0MB) CPU [16%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@33C MCPU@33C PMIC@100C Tboard@29C GPU@31.5C BCPU@33C thermal@32.4C Tdiode@30.5C VDD_SYS_GPU 229/229 VDD_SYS_SOC 690/689 VDD_4V0_WIFI 0/0 VDD_IN 3103/3129 VDD_SYS_CPU 229/229 VDD_SYS_DDR 840/840
RAM 1515/7852MB (lfb 1188x4MB) SWAP 0/3926MB (cached 0MB) CPU [0%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@33C MCPU@33C PMIC@100C Tboard@29C GPU@31.5C BCPU@33C thermal@32.4C Tdiode@30.75C VDD_SYS_GPU 229/229 VDD_SYS_SOC 690/689 VDD_4V0_WIFI 0/0 VDD_IN 3103/3122 VDD_SYS_CPU 229/229 VDD_SYS_DDR 840/840
RAM 1515/7852MB (lfb 1188x4MB) SWAP 0/3926MB (cached 0MB) CPU [16%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@33C MCPU@33C PMIC@100C Tboard@29C GPU@31.5C BCPU@33C thermal@32.4C Tdiode@30.75C VDD_SYS_GPU 229/229 VDD_SYS_SOC 690/689 VDD_4V0_WIFI 0/0 VDD_IN 3103/3118 VDD_SYS_CPU 229/229 VDD_SYS_DDR 840/840
RAM 1515/7852MB (lfb 1188x4MB) SWAP 0/3926MB (cached 0MB) CPU [16%@345,off,off,0%@345,0%@345,14%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@33C MCPU@33C PMIC@100C Tboard@29C GPU@31.5C BCPU@33C thermal@32.4C Tdiode@30.75C VDD_SYS_GPU 229/229 VDD_SYS_SOC 690/689 VDD_4V0_WIFI 0/0 VDD_IN 3065/3109 VDD_SYS_CPU 229/229 VDD_SYS_DDR 840/840
RAM 1515/7852MB (lfb 1188x4MB) SWAP 0/3926MB (cached 0MB) CPU [16%@345,off,off,14%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@33C MCPU@33C PMIC@100C Tboard@29C GPU@31.5C BCPU@33C thermal@32.4C Tdiode@30.75C VDD_SYS_GPU 229/229 VDD_SYS_SOC 690/689 VDD_4V0_WIFI 0/0 VDD_IN 3065/3103 VDD_SYS_CPU 229/229 VDD_SYS_DDR 821/837
RAM 1515/7852MB (lfb 1188x4MB) SWAP 0/3926MB (cached 0MB) CPU [16%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@32.5C MCPU@32.5C PMIC@100C Tboard@29C GPU@31.5C BCPU@32.5C thermal@32.4C Tdiode@30.75C VDD_SYS_GPU 229/229 VDD_SYS_SOC 690/689 VDD_4V0_WIFI 0/0 VDD_IN 3065/3098 VDD_SYS_CPU 229/229 VDD_SYS_DDR 821/835
RAM 1515/7852MB (lfb 1188x4MB) SWAP 0/3926MB (cached 0MB) CPU [0%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@33C MCPU@33C PMIC@100C Tboard@29C GPU@31.5C BCPU@33C thermal@32.4C Tdiode@30.75C VDD_SYS_GPU 153/220 VDD_SYS_SOC 690/689 VDD_4V0_WIFI 0/0 VDD_IN 3027/3090 VDD_SYS_CPU 229/229 VDD_SYS_DDR 821/833
RAM 1515/7852MB (lfb 1188x4MB) SWAP 0/3926MB (cached 0MB) CPU [16%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@32.5C MCPU@32.5C PMIC@100C Tboard@29C GPU@31.5C BCPU@32.5C thermal@32.4C Tdiode@30.75C VDD_SYS_GPU 153/213 VDD_SYS_SOC 690/689 VDD_4V0_WIFI 0/0 VDD_IN 3027/3084 VDD_SYS_CPU 229/229 VDD_SYS_DDR 821/832
RAM 1515/7852MB (lfb 1188x4MB) SWAP 0/3926MB (cached 0MB) CPU [20%@345,off,off,0%@345,0%@345,16%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@33C MCPU@33C PMIC@100C Tboard@29C GPU@31.5C BCPU@33C thermal@32.4C Tdiode@30.75C VDD_SYS_GPU 229/215 VDD_SYS_SOC 690/689 VDD_4V0_WIFI 0/0 VDD_IN 3065/3082 VDD_SYS_CPU 229/229 VDD_SYS_DDR 821/831
RAM 1515/7852MB (lfb 1188x4MB) SWAP 0/3926MB (cached 0MB) CPU [0%@345,off,off,14%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@33C MCPU@33C PMIC@100C Tboard@29C GPU@31.5C BCPU@33C thermal@32.4C Tdiode@30.75C VDD_SYS_GPU 229/216 VDD_SYS_SOC 690/689 VDD_4V0_WIFI 0/0 VDD_IN 3065/3081 VDD_SYS_CPU 229/229 VDD_SYS_DDR 821/830
RAM 1515/7852MB (lfb 1188x4MB) SWAP 0/3926MB (cached 0MB) CPU [14%@345,off,off,0%@345,0%@345,14%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@32.5C MCPU@32.5C PMIC@100C Tboard@29C GPU@31.5C BCPU@32.5C thermal@32.4C Tdiode@30.75C VDD_SYS_GPU 229/217 VDD_SYS_SOC 690/689 VDD_4V0_WIFI 0/0 VDD_IN 3065/3079 VDD_SYS_CPU 229/229 VDD_SYS_DDR 821/829
RAM 1515/7852MB (lfb 1188x4MB) SWAP 0/3926MB (cached 0MB) CPU [0%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@32.5C MCPU@32.5C PMIC@100C Tboard@29C GPU@31.5C BCPU@32.5C thermal@32.4C Tdiode@30.75C VDD_SYS_GPU 229/218 VDD_SYS_SOC 690/689 VDD_4V0_WIFI 0/0 VDD_IN 3065/3078 VDD_SYS_CPU 229/229 VDD_SYS_DDR 821/829
RAM 1515/7852MB (lfb 1188x4MB) SWAP 0/3926MB (cached 0MB) CPU [16%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@33C MCPU@33C PMIC@100C Tboard@29C GPU@31.5C BCPU@33C thermal@32.4C Tdiode@30.75C VDD_SYS_GPU 229/218 VDD_SYS_SOC 690/689 VDD_4V0_WIFI 0/0 VDD_IN 3065/3077 VDD_SYS_CPU 229/229 VDD_SYS_DDR 821/828
RAM 1515/7852MB (lfb 1188x4MB) SWAP 0/3926MB (cached 0MB) CPU [28%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@33C MCPU@33C PMIC@100C Tboard@29C GPU@31.5C BCPU@33C thermal@32.4C Tdiode@30.75C VDD_SYS_GPU 229/219 VDD_SYS_SOC 690/689 VDD_4V0_WIFI 0/0 VDD_IN 3027/3074 VDD_SYS_CPU 229/229 VDD_SYS_DDR 821/828
RAM 1515/7852MB (lfb 1188x4MB) SWAP 0/3926MB (cached 0MB) CPU [16%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@33C MCPU@33C PMIC@100C Tboard@29C GPU@31.5C BCPU@33C thermal@32.4C Tdiode@30.5C VDD_SYS_GPU 229/220 VDD_SYS_SOC 690/689 VDD_4V0_WIFI 0/0 VDD_IN 3027/3071 VDD_SYS_CPU 153/224 VDD_SYS_DDR 821/827
RAM 1515/7852MB (lfb 1188x4MB) SWAP 0/3926MB (cached 0MB) CPU [16%@345,off,off,0%@345,0%@345,14%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@33C MCPU@33C PMIC@100C Tboard@29C GPU@31.5C BCPU@33C thermal@32.4C Tdiode@30.5C VDD_SYS_GPU 153/216 VDD_SYS_SOC 690/689 VDD_4V0_WIFI 0/0 VDD_IN 3027/3069 VDD_SYS_CPU 153/220 VDD_SYS_DDR 821/827
RAM 1515/7852MB (lfb 1188x4MB) SWAP 0/3926MB (cached 0MB) CPU [0%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@33C MCPU@33C PMIC@100C Tboard@29C GPU@31.5C BCPU@33C thermal@32.4C Tdiode@30.5C VDD_SYS_GPU 153/213 VDD_SYS_SOC 690/689 VDD_4V0_WIFI 0/0 VDD_IN 3027/3067 VDD_SYS_CPU 153/217 VDD_SYS_DDR 821/827
