Frequency: Avg: 3959.8, Core 0: 3970.8, Core 1: 3990.7, Core 2: 3944.5, Core 3: 3933.2, Temp: PackageId0,0: 85.0, Core0,0: 72.0, Core1,0: 86.0, PackageId0,1: 85.0, Core0,1: 72.0, Core1,1: 86.0, Iwlwifi,0: 57.0, Pch_Skylake,0: 68.5, Util: Avg: 26.7, Core 0: 0.0, Core 1: 100.0, Core 2: 0.0, Core 3: 0.0, Power: package-0,0: 16.5, core,0: 11.1, uncore,0: 0, dram,0: 0.5, psys,0: 24.5, 
Frequency: Avg: 3970.3, Core 0: 3987.9, Core 1: 3979.2, Core 2: 3996.2, Core 3: 3917.9, Temp: PackageId0,0: 85.0, Core0,0: 72.0, Core1,0: 86.0, PackageId0,1: 85.0, Core0,1: 72.0, Core1,1: 86.0, Iwlwifi,0: 57.0, Pch_Skylake,0: 68.5, Util: Avg: 21.4, Core 0: 25.0, Core 1: 0.0, Core 2: 100.0, Core 3: 0.0, Power: package-0,0: 19.5, core,0: 11.1, uncore,0: 0, dram,0: 0.5, psys,0: 18.6, 
Frequency: Avg: 3976.0, Core 0: 3979.8, Core 1: 3947.8, Core 2: 3979.3, Core 3: 3997.2, Temp: PackageId0,0: 85.0, Core0,0: 72.0, Core1,0: 86.0, PackageId0,1: 85.0, Core0,1: 72.0, Core1,1: 86.0, Iwlwifi,0: 57.0, Pch_Skylake,0: 68.5, Util: Avg: 26.7, Core 0: 0.0, Core 1: 0.0, Core 2: 0.0, Core 3: 100.0, Power: package-0,0: 12.5, core,0: 10.4, uncore,0: 0, dram,0: 0.5, psys,0: 25.5, 
Frequency: Avg: 3969.3, Core 0: 3998.1, Core 1: 3919.4, Core 2: 3983.4, Core 3: 3976.4, Temp: PackageId0,0: 85.0, Core0,0: 72.0, Core1,0: 86.0, PackageId0,1: 85.0, Core0,1: 72.0, Core1,1: 86.0, Iwlwifi,0: 57.0, Pch_Skylake,0: 68.5, Util: Avg: 21.4, Core 0: 100.0, Core 1: 0.0, Core 2: 0.0, Core 3: 0.0, Power: package-0,0: 18.1, core,0: 10.7, uncore,0: 0, dram,0: 0.5, psys,0: 28.6, 
Frequency: Avg: 3968.8, Core 0: 3997.8, Core 1: 3911.6, Core 2: 3993.7, Core 3: 3972.0, Temp: PackageId0,0: 85.0, Core0,0: 72.0, Core1,0: 86.0, PackageId0,1: 85.0, Core0,1: 72.0, Core1,1: 86.0, Iwlwifi,0: 57.0, Pch_Skylake,0: 68.5, Util: Avg: 26.7, Core 0: 0.0, Core 1: 0.0, Core 2: 80.0, Core 3: 0.0, Power: package-0,0: 17.1, core,0: 10.7, uncore,0: 0, dram,0: 0.5, psys,0: 16.6, 
Frequency: Avg: 3954.2, Core 0: 3994.1, Core 1: 3909.1, Core 2: 3963.2, Core 3: 3950.4, Temp: PackageId0,0: 85.0, Core0,0: 72.0, Core1,0: 86.0, PackageId0,1: 85.0, Core0,1: 72.0, Core1,1: 86.0, Iwlwifi,0: 57.0, Pch_Skylake,0: 68.5, Util: Avg: 26.7, Core 0: 100.0, Core 1: 0.0, Core 2: 0.0, Core 3: 0.0, Power: package-0,0: 19.5, core,0: 11.7, uncore,0: 0, dram,0: 0.3, psys,0: 19.6, 
Frequency: Avg: 3962.5, Core 0: 3995.2, Core 1: 3951.5, Core 2: 3910.0, Core 3: 3993.5, Temp: PackageId0,0: 85.0, Core0,0: 72.0, Core1,0: 86.0, PackageId0,1: 85.0, Core0,1: 72.0, Core1,1: 86.0, Iwlwifi,0: 57.0, Pch_Skylake,0: 68.5, Util: Avg: 21.4, Core 0: 0.0, Core 1: 0.0, Core 2: 0.0, Core 3: 100.0, Power: package-0,0: 17.8, core,0: 11.2, uncore,0: 0, dram,0: 0.5, psys,0: 25.6, 
Frequency: Avg: 3963.6, Core 0: 3975.7, Core 1: 3998.2, Core 2: 3903.2, Core 3: 3977.1, Temp: PackageId0,0: 86.0, Core0,0: 70.0, Core1,0: 86.0, PackageId0,1: 86.0, Core0,1: 70.0, Core1,1: 86.0, Iwlwifi,0: 57.0, Pch_Skylake,0: 68.5, Util: Avg: 31.2, Core 0: 0.0, Core 1: 100.0, Core 2: 0.0, Core 3: 0.0, Power: package-0,0: 13.5, core,0: 12.0, uncore,0: 0, dram,0: 0.3, psys,0: 18.5, 
Frequency: Avg: 3953.9, Core 0: 3990.6, Core 1: 3973.5, Core 2: 3950.0, Core 3: 3901.6, Temp: PackageId0,0: 86.0, Core0,0: 70.0, Core1,0: 86.0, PackageId0,1: 86.0, Core0,1: 70.0, Core1,1: 86.0, Iwlwifi,0: 57.0, Pch_Skylake,0: 68.5, Util: Avg: 26.7, Core 0: 100.0, Core 1: 0.0, Core 2: 0.0, Core 3: 0.0, Power: package-0,0: 13.7, core,0: 10.8, uncore,0: 0, dram,0: 0.6, psys,0: 28.2, 
Frequency: Avg: 3993.3, Core 0: 3996.5, Core 1: 3982.1, Core 2: 3996.7, Core 3: 3998.0, Temp: PackageId0,0: 86.0, Core0,0: 70.0, Core1,0: 86.0, PackageId0,1: 86.0, Core0,1: 70.0, Core1,1: 86.0, Iwlwifi,0: 57.0, Pch_Skylake,0: 68.5, Util: Avg: 26.7, Core 0: 0.0, Core 1: 0.0, Core 2: 0.0, Core 3: 100.0, Power: package-0,0: 11.1, core,0: 10.9, uncore,0: 0, dram,0: 0.3, psys,0: 24.6, 
Frequency: Avg: 3968.9, Core 0: 3948.3, Core 1: 3950.7, Core 2: 3990.3, Core 3: 3986.1, Temp: PackageId0,0: 86.0, Core0,0: 70.0, Core1,0: 86.0, PackageId0,1: 86.0, Core0,1: 70.0, Core1,1: 86.0, Iwlwifi,0: 57.0, Pch_Skylake,0: 68.5, Util: Avg: 26.7, Core 0: 0.0, Core 1: 0.0, Core 2: 100.0, Core 3: 20.0, Power: package-0,0: 13.2, core,0: 11.1, uncore,0: 0, dram,0: 0.3, psys,0: 18.3, 
