RAM 1418/7852MB (lfb 1356x4MB) SWAP 0/3926MB (cached 0MB) CPU [20%@960,off,off,0%@960,16%@960,16%@960] EMC_FREQ 0% GR3D_FREQ 2% PLL@31C MCPU@31C PMIC@100C Tboard@27C GPU@29C BCPU@31C thermal@30.1C Tdiode@28.25C VDD_SYS_GPU 153/153 VDD_SYS_SOC 460/460 VDD_4V0_WIFI 286/286 VDD_IN 2682/2682 VDD_SYS_CPU 459/459 VDD_SYS_DDR 554/554
RAM 1418/7852MB (lfb 1356x4MB) SWAP 0/3926MB (cached 0MB) CPU [16%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@30.5C MCPU@30.5C PMIC@100C Tboard@27C GPU@29C BCPU@30.5C thermal@30.1C Tdiode@28.25C VDD_SYS_GPU 153/153 VDD_SYS_SOC 460/460 VDD_4V0_WIFI 248/267 VDD_IN 2567/2624 VDD_SYS_CPU 383/421 VDD_SYS_DDR 534/544
RAM 1418/7852MB (lfb 1356x4MB) SWAP 0/3926MB (cached 0MB) CPU [16%@345,off,off,0%@345,14%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@30.5C MCPU@30.5C PMIC@100C Tboard@27C GPU@29C BCPU@30.5C thermal@29.9C Tdiode@28.25C VDD_SYS_GPU 153/153 VDD_SYS_SOC 460/460 VDD_4V0_WIFI 210/248 VDD_IN 2452/2567 VDD_SYS_CPU 383/408 VDD_SYS_DDR 515/534
RAM 1418/7852MB (lfb 1356x4MB) SWAP 0/3926MB (cached 0MB) CPU [0%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@30.5C MCPU@30.5C PMIC@100C Tboard@27C GPU@29C BCPU@30.5C thermal@29.9C Tdiode@28.25C VDD_SYS_GPU 153/153 VDD_SYS_SOC 460/460 VDD_4V0_WIFI 191/233 VDD_IN 2337/2509 VDD_SYS_CPU 306/382 VDD_SYS_DDR 496/524
RAM 1418/7852MB (lfb 1356x4MB) SWAP 0/3926MB (cached 0MB) CPU [28%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@30.5C MCPU@30.5C PMIC@100C Tboard@27C GPU@29.5C BCPU@30.5C thermal@29.9C Tdiode@28.25C VDD_SYS_GPU 153/153 VDD_SYS_SOC 460/460 VDD_4V0_WIFI 152/217 VDD_IN 2260/2459 VDD_SYS_CPU 306/367 VDD_SYS_DDR 477/515
RAM 1418/7852MB (lfb 1356x4MB) SWAP 0/3926MB (cached 0MB) CPU [0%@345,off,off,0%@345,0%@345,14%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@30.5C MCPU@30.5C PMIC@100C Tboard@27C GPU@29C BCPU@30.5C thermal@29.9C Tdiode@28.25C VDD_SYS_GPU 153/153 VDD_SYS_SOC 460/460 VDD_4V0_WIFI 133/203 VDD_IN 2184/2413 VDD_SYS_CPU 306/357 VDD_SYS_DDR 458/505
RAM 1418/7852MB (lfb 1356x4MB) SWAP 0/3926MB (cached 0MB) CPU [16%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@30.5C MCPU@30.5C PMIC@100C Tboard@27C GPU@29C BCPU@30.5C thermal@29.9C Tdiode@28.25C VDD_SYS_GPU 153/153 VDD_SYS_SOC 460/460 VDD_4V0_WIFI 114/190 VDD_IN 2146/2375 VDD_SYS_CPU 306/349 VDD_SYS_DDR 458/498
RAM 1418/7852MB (lfb 1356x4MB) SWAP 0/3926MB (cached 0MB) CPU [20%@345,off,off,16%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 16% PLL@30.5C MCPU@30.5C PMIC@100C Tboard@27C GPU@29C BCPU@30.5C thermal@29.9C Tdiode@28.25C VDD_SYS_GPU 153/153 VDD_SYS_SOC 460/460 VDD_4V0_WIFI 114/181 VDD_IN 2108/2342 VDD_SYS_CPU 306/344 VDD_SYS_DDR 458/493
RAM 1418/7852MB (lfb 1356x4MB) SWAP 0/3926MB (cached 0MB) CPU [16%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@30.5C MCPU@30.5C PMIC@100C Tboard@27C GPU@29.5C BCPU@30.5C thermal@29.9C Tdiode@28C VDD_SYS_GPU 153/153 VDD_SYS_SOC 460/460 VDD_4V0_WIFI 95/171 VDD_IN 2070/2311 VDD_SYS_CPU 229/331 VDD_SYS_DDR 439/487
RAM 1418/7852MB (lfb 1356x4MB) SWAP 0/3926MB (cached 0MB) CPU [16%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@30.5C MCPU@30.5C PMIC@100C Tboard@27C GPU@29C BCPU@30.5C thermal@29.9C Tdiode@28C VDD_SYS_GPU 153/153 VDD_SYS_SOC 460/460 VDD_4V0_WIFI 76/161 VDD_IN 2031/2283 VDD_SYS_CPU 229/321 VDD_SYS_DDR 420/480
RAM 1418/7852MB (lfb 1356x4MB) SWAP 0/3926MB (cached 0MB) CPU [16%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@30.5C MCPU@30.5C PMIC@100C Tboard@27C GPU@29C BCPU@30.5C thermal@29.9C Tdiode@28C VDD_SYS_GPU 153/153 VDD_SYS_SOC 460/460 VDD_4V0_WIFI 76/154 VDD_IN 1993/2257 VDD_SYS_CPU 229/312 VDD_SYS_DDR 420/475
