RAM 1455/7852MB (lfb 1344x4MB) SWAP 0/3926MB (cached 0MB) CPU [28%@499,off,off,16%@499,14%@499,0%@499] EMC_FREQ 0% GR3D_FREQ 0% PLL@32.5C MCPU@32.5C PMIC@100C Tboard@28C GPU@31C BCPU@32.5C thermal@31.4C Tdiode@30C VDD_SYS_GPU 229/229 VDD_SYS_SOC 690/690 VDD_4V0_WIFI 0/0 VDD_IN 2644/2644 VDD_SYS_CPU 229/229 VDD_SYS_DDR 840/840
RAM 1455/7852MB (lfb 1344x4MB) SWAP 0/3926MB (cached 0MB) CPU [16%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@32C MCPU@32C PMIC@100C Tboard@28C GPU@31C BCPU@32C thermal@31.4C Tdiode@30C VDD_SYS_GPU 229/229 VDD_SYS_SOC 690/690 VDD_4V0_WIFI 0/0 VDD_IN 2644/2644 VDD_SYS_CPU 229/229 VDD_SYS_DDR 840/840
RAM 1455/7852MB (lfb 1344x4MB) SWAP 0/3926MB (cached 0MB) CPU [28%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@32C MCPU@32C PMIC@100C Tboard@28C GPU@31C BCPU@32C thermal@31.4C Tdiode@30C VDD_SYS_GPU 229/229 VDD_SYS_SOC 690/690 VDD_4V0_WIFI 0/0 VDD_IN 2644/2644 VDD_SYS_CPU 229/229 VDD_SYS_DDR 840/840
RAM 1455/7852MB (lfb 1344x4MB) SWAP 0/3926MB (cached 0MB) CPU [0%@345,off,off,14%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@32.5C MCPU@32.5C PMIC@100C Tboard@28C GPU@31C BCPU@32.5C thermal@31.4C Tdiode@30C VDD_SYS_GPU 229/229 VDD_SYS_SOC 613/670 VDD_4V0_WIFI 0/0 VDD_IN 2605/2634 VDD_SYS_CPU 229/229 VDD_SYS_DDR 840/840
RAM 1455/7852MB (lfb 1344x4MB) SWAP 0/3926MB (cached 0MB) CPU [0%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@32C MCPU@32C PMIC@100C Tboard@28C GPU@31C BCPU@32C thermal@31.4C Tdiode@30C VDD_SYS_GPU 229/229 VDD_SYS_SOC 613/659 VDD_4V0_WIFI 0/0 VDD_IN 2605/2628 VDD_SYS_CPU 229/229 VDD_SYS_DDR 840/840
RAM 1455/7852MB (lfb 1344x4MB) SWAP 0/3926MB (cached 0MB) CPU [25%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@32C MCPU@32C PMIC@100C Tboard@28C GPU@31C BCPU@32C thermal@31.4C Tdiode@30C VDD_SYS_GPU 229/229 VDD_SYS_SOC 613/651 VDD_4V0_WIFI 0/0 VDD_IN 2605/2624 VDD_SYS_CPU 229/229 VDD_SYS_DDR 840/840
RAM 1455/7852MB (lfb 1344x4MB) SWAP 0/3926MB (cached 0MB) CPU [0%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@32C MCPU@32C PMIC@100C Tboard@28C GPU@31C BCPU@32C thermal@31.4C Tdiode@30C VDD_SYS_GPU 229/229 VDD_SYS_SOC 613/646 VDD_4V0_WIFI 0/0 VDD_IN 2567/2616 VDD_SYS_CPU 229/229 VDD_SYS_DDR 840/840
RAM 1455/7852MB (lfb 1344x4MB) SWAP 0/3926MB (cached 0MB) CPU [16%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@32C MCPU@32C PMIC@100C Tboard@28C GPU@31C BCPU@32C thermal@31.4C Tdiode@30C VDD_SYS_GPU 153/219 VDD_SYS_SOC 613/641 VDD_4V0_WIFI 0/0 VDD_IN 2567/2610 VDD_SYS_CPU 229/229 VDD_SYS_DDR 821/837
RAM 1455/7852MB (lfb 1344x4MB) SWAP 0/3926MB (cached 0MB) CPU [16%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@32C MCPU@32C PMIC@100C Tboard@28C GPU@31C BCPU@32C thermal@31.4C Tdiode@30C VDD_SYS_GPU 153/212 VDD_SYS_SOC 613/638 VDD_4V0_WIFI 0/0 VDD_IN 2567/2605 VDD_SYS_CPU 229/229 VDD_SYS_DDR 821/835
RAM 1457/7852MB (lfb 1344x4MB) SWAP 0/3926MB (cached 0MB) CPU [0%@345,off,off,14%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@32.5C MCPU@32.5C PMIC@100C Tboard@28C GPU@31C BCPU@32.5C thermal@31.4C Tdiode@30C VDD_SYS_GPU 153/206 VDD_SYS_SOC 613/636 VDD_4V0_WIFI 0/0 VDD_IN 2567/2601 VDD_SYS_CPU 229/229 VDD_SYS_DDR 821/834
RAM 1455/7852MB (lfb 1344x4MB) SWAP 0/3926MB (cached 0MB) CPU [16%@345,off,off,0%@345,0%@345,16%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@32.5C MCPU@32.5C PMIC@100C Tboard@28C GPU@31C BCPU@32.5C thermal@31.4C Tdiode@30C VDD_SYS_GPU 153/201 VDD_SYS_SOC 613/634 VDD_4V0_WIFI 0/0 VDD_IN 2567/2598 VDD_SYS_CPU 229/229 VDD_SYS_DDR 821/833
RAM 1455/7852MB (lfb 1344x4MB) SWAP 0/3926MB (cached 0MB) CPU [16%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@32C MCPU@32C PMIC@100C Tboard@28C GPU@30.5C BCPU@32C thermal@31.4C Tdiode@30C VDD_SYS_GPU 153/197 VDD_SYS_SOC 613/632 VDD_4V0_WIFI 0/0 VDD_IN 2567/2595 VDD_SYS_CPU 229/229 VDD_SYS_DDR 821/832
