RAM 1474/7852MB (lfb 1336x4MB) SWAP 0/3926MB (cached 0MB) CPU [16%@499,off,off,0%@499,14%@499,0%@499] EMC_FREQ 0% GR3D_FREQ 0% PLL@34C MCPU@34C PMIC@100C Tboard@30C GPU@32.5C BCPU@34C thermal@33.2C Tdiode@31.75C VDD_SYS_GPU 229/229 VDD_SYS_SOC 690/690 VDD_4V0_WIFI 0/0 VDD_IN 2644/2644 VDD_SYS_CPU 229/229 VDD_SYS_DDR 840/840
RAM 1474/7852MB (lfb 1336x4MB) SWAP 0/3926MB (cached 0MB) CPU [16%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@34C MCPU@34C PMIC@100C Tboard@30C GPU@32.5C BCPU@34C thermal@33.2C Tdiode@31.75C VDD_SYS_GPU 229/229 VDD_SYS_SOC 690/690 VDD_4V0_WIFI 0/0 VDD_IN 2644/2644 VDD_SYS_CPU 229/229 VDD_SYS_DDR 840/840
RAM 1474/7852MB (lfb 1336x4MB) SWAP 0/3926MB (cached 0MB) CPU [0%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@33.5C MCPU@33.5C PMIC@100C Tboard@30C GPU@32.5C BCPU@33.5C thermal@33.2C Tdiode@31.75C VDD_SYS_GPU 229/229 VDD_SYS_SOC 690/690 VDD_4V0_WIFI 0/0 VDD_IN 2605/2631 VDD_SYS_CPU 229/229 VDD_SYS_DDR 840/840
RAM 1474/7852MB (lfb 1336x4MB) SWAP 0/3926MB (cached 0MB) CPU [16%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@33.5C MCPU@33.5C PMIC@100C Tboard@30C GPU@32.5C BCPU@33.5C thermal@33.2C Tdiode@31.75C VDD_SYS_GPU 153/210 VDD_SYS_SOC 690/690 VDD_4V0_WIFI 0/0 VDD_IN 2605/2624 VDD_SYS_CPU 229/229 VDD_SYS_DDR 840/840
RAM 1474/7852MB (lfb 1336x4MB) SWAP 0/3926MB (cached 0MB) CPU [0%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@33.5C MCPU@33.5C PMIC@100C Tboard@30C GPU@32.5C BCPU@33.5C thermal@33.2C Tdiode@31.75C VDD_SYS_GPU 153/198 VDD_SYS_SOC 690/690 VDD_4V0_WIFI 0/0 VDD_IN 2605/2620 VDD_SYS_CPU 229/229 VDD_SYS_DDR 840/840
RAM 1474/7852MB (lfb 1336x4MB) SWAP 0/3926MB (cached 0MB) CPU [0%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@33.5C MCPU@33.5C PMIC@100C Tboard@30C GPU@32.5C BCPU@33.5C thermal@33.2C Tdiode@31.75C VDD_SYS_GPU 153/191 VDD_SYS_SOC 690/690 VDD_4V0_WIFI 0/0 VDD_IN 2605/2618 VDD_SYS_CPU 229/229 VDD_SYS_DDR 840/840
RAM 1474/7852MB (lfb 1336x4MB) SWAP 0/3926MB (cached 0MB) CPU [16%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@33.5C MCPU@33.5C PMIC@100C Tboard@30C GPU@32.5C BCPU@33.5C thermal@33.2C Tdiode@31.75C VDD_SYS_GPU 153/185 VDD_SYS_SOC 690/690 VDD_4V0_WIFI 0/0 VDD_IN 2567/2610 VDD_SYS_CPU 229/229 VDD_SYS_DDR 840/840
RAM 1474/7852MB (lfb 1336x4MB) SWAP 0/3926MB (cached 0MB) CPU [16%@345,off,off,16%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@34C MCPU@34C PMIC@100C Tboard@30C GPU@32.5C BCPU@34C thermal@33.2C Tdiode@31.75C VDD_SYS_GPU 153/181 VDD_SYS_SOC 690/690 VDD_4V0_WIFI 0/0 VDD_IN 2567/2605 VDD_SYS_CPU 229/229 VDD_SYS_DDR 821/837
RAM 1474/7852MB (lfb 1336x4MB) SWAP 0/3926MB (cached 0MB) CPU [16%@345,off,off,0%@345,14%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@34C MCPU@34C PMIC@100C Tboard@30C GPU@32C BCPU@34C thermal@33.2C Tdiode@31.75C VDD_SYS_GPU 153/178 VDD_SYS_SOC 690/690 VDD_4V0_WIFI 0/0 VDD_IN 2567/2601 VDD_SYS_CPU 229/229 VDD_SYS_DDR 821/835
RAM 1474/7852MB (lfb 1336x4MB) SWAP 0/3926MB (cached 0MB) CPU [0%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@34C MCPU@34C PMIC@100C Tboard@30C GPU@32.5C BCPU@34C thermal@33.2C Tdiode@31.75C VDD_SYS_GPU 153/175 VDD_SYS_SOC 690/690 VDD_4V0_WIFI 0/0 VDD_IN 2567/2597 VDD_SYS_CPU 229/229 VDD_SYS_DDR 821/834
RAM 1474/7852MB (lfb 1336x4MB) SWAP 0/3926MB (cached 0MB) CPU [0%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@33.5C MCPU@33.5C PMIC@100C Tboard@30C GPU@32.5C BCPU@33.5C thermal@33.2C Tdiode@31.75C VDD_SYS_GPU 153/173 VDD_SYS_SOC 690/690 VDD_4V0_WIFI 0/0 VDD_IN 2567/2594 VDD_SYS_CPU 229/229 VDD_SYS_DDR 821/833
