RAM 1255/7860MB (lfb 1353x4MB) SWAP 0/3930MB (cached 0MB) CPU [0%@498,off,off,28%@499,16%@498,16%@499] EMC_FREQ 0%@1600 GR3D_FREQ 0%@1122 APE 150 PLL@38C MCPU@38C PMIC@100C Tboard@34C GPU@36.5C BCPU@38C thermal@37.1C Tdiode@35.75C VDD_SYS_GPU 153/153 VDD_SYS_SOC 613/613 VDD_4V0_WIFI 305/305 VDD_IN 3065/3065 VDD_SYS_CPU 383/383 VDD_SYS_DDR 725/725
RAM 1256/7860MB (lfb 1353x4MB) SWAP 0/3930MB (cached 0MB) CPU [16%@345,off,off,0%@345,25%@345,0%@345] EMC_FREQ 0%@1600 GR3D_FREQ 0%@1122 APE 150 PLL@37.5C MCPU@37.5C PMIC@100C Tboard@34C GPU@36.5C BCPU@37.5C thermal@37.1C Tdiode@35.75C VDD_SYS_GPU 153/153 VDD_SYS_SOC 613/613 VDD_4V0_WIFI 267/286 VDD_IN 2988/3026 VDD_SYS_CPU 306/344 VDD_SYS_DDR 725/725
RAM 1256/7860MB (lfb 1353x4MB) SWAP 0/3930MB (cached 0MB) CPU [0%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0%@1600 GR3D_FREQ 0%@1122 APE 150 PLL@37.5C MCPU@37.5C PMIC@100C Tboard@34C GPU@36.5C BCPU@37.5C thermal@37.1C Tdiode@35.75C VDD_SYS_GPU 153/153 VDD_SYS_SOC 613/613 VDD_4V0_WIFI 229/267 VDD_IN 2912/2988 VDD_SYS_CPU 306/331 VDD_SYS_DDR 725/725
RAM 1256/7860MB (lfb 1353x4MB) SWAP 0/3930MB (cached 0MB) CPU [28%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0%@1600 GR3D_FREQ 0%@1122 APE 150 PLL@37.5C MCPU@37.5C PMIC@100C Tboard@34C GPU@36.5C BCPU@37.5C thermal@37.1C Tdiode@36C VDD_SYS_GPU 153/153 VDD_SYS_SOC 613/613 VDD_4V0_WIFI 191/248 VDD_IN 2874/2959 VDD_SYS_CPU 306/325 VDD_SYS_DDR 725/725
RAM 1256/7860MB (lfb 1353x4MB) SWAP 0/3930MB (cached 0MB) CPU [16%@652,off,off,14%@652,16%@653,14%@653] EMC_FREQ 0%@1600 GR3D_FREQ 0%@1122 APE 150 PLL@37.5C MCPU@37.5C PMIC@100C Tboard@34C GPU@36.5C BCPU@37.5C thermal@37.1C Tdiode@36C VDD_SYS_GPU 153/153 VDD_SYS_SOC 613/613 VDD_4V0_WIFI 171/232 VDD_IN 2835/2934 VDD_SYS_CPU 306/321 VDD_SYS_DDR 725/725
RAM 1255/7860MB (lfb 1353x4MB) SWAP 0/3930MB (cached 0MB) CPU [14%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0%@1600 GR3D_FREQ 0%@1122 APE 150 PLL@37.5C MCPU@37.5C PMIC@100C Tboard@34C GPU@36.5C BCPU@37.5C thermal@37.1C Tdiode@36C VDD_SYS_GPU 153/153 VDD_SYS_SOC 613/613 VDD_4V0_WIFI 133/216 VDD_IN 2797/2911 VDD_SYS_CPU 306/318 VDD_SYS_DDR 725/725
RAM 1255/7860MB (lfb 1353x4MB) SWAP 0/3930MB (cached 0MB) CPU [37%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0%@1600 GR3D_FREQ 0%@1122 APE 150 PLL@37.5C MCPU@37.5C PMIC@100C Tboard@34C GPU@36.5C BCPU@37.5C thermal@37.1C Tdiode@36C VDD_SYS_GPU 153/153 VDD_SYS_SOC 613/613 VDD_4V0_WIFI 114/201 VDD_IN 2759/2890 VDD_SYS_CPU 229/306 VDD_SYS_DDR 725/725
RAM 1255/7860MB (lfb 1353x4MB) SWAP 0/3930MB (cached 0MB) CPU [25%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0%@1600 GR3D_FREQ 0%@1122 APE 150 PLL@37.5C MCPU@37.5C PMIC@100C Tboard@34C GPU@36.5C BCPU@37.5C thermal@37.1C Tdiode@36C VDD_SYS_GPU 153/153 VDD_SYS_SOC 613/613 VDD_4V0_WIFI 95/188 VDD_IN 2720/2868 VDD_SYS_CPU 229/296 VDD_SYS_DDR 725/725
RAM 1255/7860MB (lfb 1353x4MB) SWAP 0/3930MB (cached 0MB) CPU [16%@499,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0%@1600 GR3D_FREQ 0%@1122 APE 150 PLL@37.5C MCPU@37.5C PMIC@100C Tboard@34C GPU@36.5C BCPU@37.5C thermal@37.1C Tdiode@36C VDD_SYS_GPU 153/153 VDD_SYS_SOC 613/613 VDD_4V0_WIFI 95/177 VDD_IN 2682/2848 VDD_SYS_CPU 229/288 VDD_SYS_DDR 706/722
RAM 1255/7860MB (lfb 1353x4MB) SWAP 0/3930MB (cached 0MB) CPU [0%@345,off,off,0%@345,0%@345,12%@345] EMC_FREQ 0%@1600 GR3D_FREQ 0%@1122 APE 150 PLL@37.5C MCPU@37.5C PMIC@100C Tboard@34C GPU@36.5C BCPU@37.5C thermal@37.1C Tdiode@36C VDD_SYS_GPU 153/153 VDD_SYS_SOC 613/613 VDD_4V0_WIFI 76/167 VDD_IN 2645/2827 VDD_SYS_CPU 229/282 VDD_SYS_DDR 706/721
RAM 1255/7860MB (lfb 1353x4MB) SWAP 0/3930MB (cached 0MB) CPU [25%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0%@1600 GR3D_FREQ 0%@1122 APE 150 PLL@37.5C MCPU@37.5C PMIC@100C Tboard@34C GPU@36.5C BCPU@37.5C thermal@37.1C Tdiode@36C VDD_SYS_GPU 153/153 VDD_SYS_SOC 613/613 VDD_4V0_WIFI 57/157 VDD_IN 2645/2811 VDD_SYS_CPU 229/278 VDD_SYS_DDR 706/719
RAM 1255/7860MB (lfb 1353x4MB) SWAP 0/3930MB (cached 0MB) CPU [0%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0%@1600 GR3D_FREQ 0%@1122 APE 150 PLL@37C MCPU@37C PMIC@100C Tboard@34C GPU@36.5C BCPU@37C thermal@37.1C Tdiode@35.75C VDD_SYS_GPU 153/153 VDD_SYS_SOC 613/613 VDD_4V0_WIFI 57/149 VDD_IN 2606/2794 VDD_SYS_CPU 229/273 VDD_SYS_DDR 706/718
RAM 1255/7860MB (lfb 1353x4MB) SWAP 0/3930MB (cached 0MB) CPU [14%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0%@1600 GR3D_FREQ 0%@1122 APE 150 PLL@37.5C MCPU@37.5C PMIC@100C Tboard@34C GPU@36.5C BCPU@37.5C thermal@37.1C Tdiode@35.75C VDD_SYS_GPU 153/153 VDD_SYS_SOC 613/613 VDD_4V0_WIFI 57/142 VDD_IN 2606/2779 VDD_SYS_CPU 229/270 VDD_SYS_DDR 706/717
RAM 1255/7860MB (lfb 1353x4MB) SWAP 0/3930MB (cached 0MB) CPU [16%@345,off,off,14%@345,0%@345,0%@346] EMC_FREQ 0%@1600 GR3D_FREQ 0%@1122 APE 150 PLL@37.5C MCPU@37.5C PMIC@100C Tboard@34C GPU@36.5C BCPU@37.5C thermal@37.1C Tdiode@35.75C VDD_SYS_GPU 153/153 VDD_SYS_SOC 613/613 VDD_4V0_WIFI 38/134 VDD_IN 2568/2764 VDD_SYS_CPU 229/267 VDD_SYS_DDR 706/716
RAM 1255/7860MB (lfb 1353x4MB) SWAP 0/3930MB (cached 0MB) CPU [0%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0%@1600 GR3D_FREQ 0%@1122 APE 150 PLL@37.5C MCPU@37.5C PMIC@100C Tboard@34C GPU@36.5C BCPU@37.5C thermal@37.1C Tdiode@35.75C VDD_SYS_GPU 153/153 VDD_SYS_SOC 613/613 VDD_4V0_WIFI 38/128 VDD_IN 2568/2751 VDD_SYS_CPU 229/264 VDD_SYS_DDR 706/716
RAM 1255/7860MB (lfb 1353x4MB) SWAP 0/3930MB (cached 0MB) CPU [25%@345,off,off,14%@345,0%@345,0%@345] EMC_FREQ 0%@1600 GR3D_FREQ 0%@1122 APE 150 PLL@37.5C MCPU@37.5C PMIC@100C Tboard@34C GPU@36.5C BCPU@37.5C thermal@37.1C Tdiode@36C VDD_SYS_GPU 153/153 VDD_SYS_SOC 613/613 VDD_4V0_WIFI 38/122 VDD_IN 2568/2739 VDD_SYS_CPU 229/262 VDD_SYS_DDR 706/715
RAM 1255/7860MB (lfb 1353x4MB) SWAP 0/3930MB (cached 0MB) CPU [16%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0%@1600 GR3D_FREQ 0%@1122 APE 150 PLL@37.5C MCPU@37.5C PMIC@100C Tboard@34C GPU@36.5C BCPU@37.5C thermal@37.1C Tdiode@36C VDD_SYS_GPU 153/153 VDD_SYS_SOC 613/613 VDD_4V0_WIFI 19/116 VDD_IN 2568/2729 VDD_SYS_CPU 229/260 VDD_SYS_DDR 706/714
RAM 1255/7860MB (lfb 1353x4MB) SWAP 0/3930MB (cached 0MB) CPU [16%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0%@1600 GR3D_FREQ 0%@1122 APE 150 PLL@37.5C MCPU@37.5C PMIC@100C Tboard@34C GPU@36.5C BCPU@37.5C thermal@37.1C Tdiode@36C VDD_SYS_GPU 153/153 VDD_SYS_SOC 613/613 VDD_4V0_WIFI 19/111 VDD_IN 2530/2718 VDD_SYS_CPU 229/258 VDD_SYS_DDR 706/714
RAM 1255/7860MB (lfb 1353x4MB) SWAP 0/3930MB (cached 0MB) CPU [14%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0%@1600 GR3D_FREQ 0%@1122 APE 150 PLL@37.5C MCPU@37.5C PMIC@100C Tboard@34C GPU@36.5C BCPU@37.5C thermal@37.1C Tdiode@36C VDD_SYS_GPU 153/153 VDD_SYS_SOC 613/613 VDD_4V0_WIFI 19/106 VDD_IN 2568/2710 VDD_SYS_CPU 229/257 VDD_SYS_DDR 706/714
