RAM 1230/7860MB (lfb 1348x4MB) SWAP 0/3930MB (cached 0MB) CPU [0%@499,off,off,0%@499,0%@499,0%@499] EMC_FREQ 0% GR3D_FREQ 0% PLL@37.5C MCPU@37.5C PMIC@100C Tboard@34C GPU@36.5C BCPU@37.5C thermal@37.1C Tdiode@35.75C VDD_SYS_GPU 153/153 VDD_SYS_SOC 613/613 VDD_4V0_WIFI 0/0 VDD_IN 2530/2530 VDD_SYS_CPU 229/229 VDD_SYS_DDR 706/706
RAM 1230/7860MB (lfb 1348x4MB) SWAP 0/3930MB (cached 0MB) CPU [16%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@37.5C MCPU@37.5C PMIC@100C Tboard@34C GPU@36.5C BCPU@37.5C thermal@37.1C Tdiode@35.75C VDD_SYS_GPU 153/153 VDD_SYS_SOC 613/613 VDD_4V0_WIFI 0/0 VDD_IN 2530/2530 VDD_SYS_CPU 229/229 VDD_SYS_DDR 706/706
RAM 1230/7860MB (lfb 1348x4MB) SWAP 0/3930MB (cached 0MB) CPU [28%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@37C MCPU@37C PMIC@100C Tboard@34C GPU@36.5C BCPU@37C thermal@37.1C Tdiode@35.75C VDD_SYS_GPU 153/153 VDD_SYS_SOC 613/613 VDD_4V0_WIFI 0/0 VDD_IN 2530/2530 VDD_SYS_CPU 229/229 VDD_SYS_DDR 706/706
RAM 1230/7860MB (lfb 1348x4MB) SWAP 0/3930MB (cached 0MB) CPU [0%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@37C MCPU@37C PMIC@100C Tboard@34C GPU@36.5C BCPU@37C thermal@37.1C Tdiode@35.75C VDD_SYS_GPU 153/153 VDD_SYS_SOC 613/613 VDD_4V0_WIFI 0/0 VDD_IN 2530/2530 VDD_SYS_CPU 229/229 VDD_SYS_DDR 706/706
RAM 1230/7860MB (lfb 1348x4MB) SWAP 0/3930MB (cached 0MB) CPU [0%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@37C MCPU@37C PMIC@100C Tboard@34C GPU@36C BCPU@37C thermal@37.1C Tdiode@35.5C VDD_SYS_GPU 153/153 VDD_SYS_SOC 613/613 VDD_4V0_WIFI 0/0 VDD_IN 2530/2530 VDD_SYS_CPU 229/229 VDD_SYS_DDR 706/706
RAM 1230/7860MB (lfb 1348x4MB) SWAP 0/3930MB (cached 0MB) CPU [16%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@37.5C MCPU@37.5C PMIC@100C Tboard@34C GPU@36C BCPU@37.5C thermal@36.9C Tdiode@35.5C VDD_SYS_GPU 153/153 VDD_SYS_SOC 613/613 VDD_4V0_WIFI 0/0 VDD_IN 2530/2530 VDD_SYS_CPU 229/229 VDD_SYS_DDR 706/706
RAM 1230/7860MB (lfb 1348x4MB) SWAP 0/3930MB (cached 0MB) CPU [16%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@37C MCPU@37C PMIC@100C Tboard@34C GPU@36.5C BCPU@37C thermal@36.9C Tdiode@35.5C VDD_SYS_GPU 153/153 VDD_SYS_SOC 613/613 VDD_4V0_WIFI 0/0 VDD_IN 2530/2530 VDD_SYS_CPU 229/229 VDD_SYS_DDR 706/706
RAM 1230/7860MB (lfb 1348x4MB) SWAP 0/3930MB (cached 0MB) CPU [0%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@37C MCPU@37C PMIC@100C Tboard@34C GPU@36.5C BCPU@37C thermal@36.9C Tdiode@35.5C VDD_SYS_GPU 153/153 VDD_SYS_SOC 613/613 VDD_4V0_WIFI 0/0 VDD_IN 2491/2525 VDD_SYS_CPU 229/229 VDD_SYS_DDR 706/706
RAM 1230/7860MB (lfb 1348x4MB) SWAP 0/3930MB (cached 0MB) CPU [0%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@37.5C MCPU@37.5C PMIC@100C Tboard@34C GPU@36.5C BCPU@37.5C thermal@36.9C Tdiode@35.5C VDD_SYS_GPU 153/153 VDD_SYS_SOC 613/613 VDD_4V0_WIFI 0/0 VDD_IN 2491/2521 VDD_SYS_CPU 229/229 VDD_SYS_DDR 706/706
RAM 1230/7860MB (lfb 1348x4MB) SWAP 0/3930MB (cached 0MB) CPU [16%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@37.5C MCPU@37.5C PMIC@100C Tboard@34C GPU@36.5C BCPU@37.5C thermal@36.9C Tdiode@35.5C VDD_SYS_GPU 153/153 VDD_SYS_SOC 613/613 VDD_4V0_WIFI 0/0 VDD_IN 2491/2518 VDD_SYS_CPU 229/229 VDD_SYS_DDR 706/706
RAM 1230/7860MB (lfb 1348x4MB) SWAP 0/3930MB (cached 0MB) CPU [16%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@37C MCPU@37C PMIC@100C Tboard@34C GPU@36C BCPU@37C thermal@36.9C Tdiode@35.5C VDD_SYS_GPU 153/153 VDD_SYS_SOC 613/613 VDD_4V0_WIFI 0/0 VDD_IN 2491/2515 VDD_SYS_CPU 229/229 VDD_SYS_DDR 706/706
RAM 1230/7860MB (lfb 1348x4MB) SWAP 0/3930MB (cached 0MB) CPU [16%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@37C MCPU@37C PMIC@100C Tboard@34C GPU@36.5C BCPU@37C thermal@36.9C Tdiode@35.5C VDD_SYS_GPU 153/153 VDD_SYS_SOC 613/613 VDD_4V0_WIFI 0/0 VDD_IN 2491/2513 VDD_SYS_CPU 229/229 VDD_SYS_DDR 706/706
