RAM 1235/7860MB (lfb 1345x4MB) SWAP 0/3930MB (cached 0MB) CPU [0%@1420,off,off,0%@1420,33%@1420,33%@1420] EMC_FREQ 0% GR3D_FREQ 0% PLL@41C MCPU@41C PMIC@100C Tboard@37C GPU@39.5C BCPU@41C thermal@40.1C Tdiode@39.25C VDD_SYS_GPU 153/153 VDD_SYS_SOC 613/613 VDD_4V0_WIFI 286/286 VDD_IN 3065/3065 VDD_SYS_CPU 383/383 VDD_SYS_DDR 725/725
RAM 1235/7860MB (lfb 1345x4MB) SWAP 0/3930MB (cached 0MB) CPU [0%@345,off,off,16%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@40.5C MCPU@40.5C PMIC@100C Tboard@37C GPU@39.5C BCPU@40.5C thermal@40.1C Tdiode@39.25C VDD_SYS_GPU 153/153 VDD_SYS_SOC 613/613 VDD_4V0_WIFI 248/267 VDD_IN 2988/3026 VDD_SYS_CPU 383/383 VDD_SYS_DDR 725/725
RAM 1235/7860MB (lfb 1345x4MB) SWAP 0/3930MB (cached 0MB) CPU [0%@345,off,off,14%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@40.5C MCPU@40.5C PMIC@100C Tboard@37C GPU@39.5C BCPU@40.5C thermal@40.1C Tdiode@39.25C VDD_SYS_GPU 153/153 VDD_SYS_SOC 613/613 VDD_4V0_WIFI 229/254 VDD_IN 2912/2988 VDD_SYS_CPU 306/357 VDD_SYS_DDR 725/725
RAM 1235/7860MB (lfb 1345x4MB) SWAP 0/3930MB (cached 0MB) CPU [14%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@41C MCPU@41C PMIC@100C Tboard@37C GPU@39.5C BCPU@41C thermal@40.1C Tdiode@39.25C VDD_SYS_GPU 153/153 VDD_SYS_SOC 613/613 VDD_4V0_WIFI 191/238 VDD_IN 2874/2959 VDD_SYS_CPU 306/344 VDD_SYS_DDR 725/725
RAM 1235/7860MB (lfb 1345x4MB) SWAP 0/3930MB (cached 0MB) CPU [0%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@41C MCPU@41C PMIC@100C Tboard@37C GPU@39.5C BCPU@41C thermal@40.1C Tdiode@39.25C VDD_SYS_GPU 153/153 VDD_SYS_SOC 613/613 VDD_4V0_WIFI 171/225 VDD_IN 2797/2927 VDD_SYS_CPU 306/336 VDD_SYS_DDR 725/725
RAM 1235/7860MB (lfb 1345x4MB) SWAP 0/3930MB (cached 0MB) CPU [28%@345,off,off,0%@345,0%@345,14%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@40.5C MCPU@40.5C PMIC@100C Tboard@37C GPU@39.5C BCPU@40.5C thermal@40.1C Tdiode@39.25C VDD_SYS_GPU 153/153 VDD_SYS_SOC 613/613 VDD_4V0_WIFI 152/212 VDD_IN 2760/2899 VDD_SYS_CPU 306/331 VDD_SYS_DDR 706/721
RAM 1235/7860MB (lfb 1345x4MB) SWAP 0/3930MB (cached 0MB) CPU [0%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@41C MCPU@41C PMIC@100C Tboard@37C GPU@39.5C BCPU@41C thermal@40.1C Tdiode@39.25C VDD_SYS_GPU 153/153 VDD_SYS_SOC 613/613 VDD_4V0_WIFI 133/201 VDD_IN 2721/2873 VDD_SYS_CPU 306/328 VDD_SYS_DDR 706/719
RAM 1235/7860MB (lfb 1345x4MB) SWAP 0/3930MB (cached 0MB) CPU [0%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@40.5C MCPU@40.5C PMIC@100C Tboard@37C GPU@39.5C BCPU@40.5C thermal@40.1C Tdiode@39.25C VDD_SYS_GPU 153/153 VDD_SYS_SOC 613/613 VDD_4V0_WIFI 114/190 VDD_IN 2683/2850 VDD_SYS_CPU 229/315 VDD_SYS_DDR 706/717
RAM 1235/7860MB (lfb 1345x4MB) SWAP 0/3930MB (cached 0MB) CPU [16%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@40.5C MCPU@40.5C PMIC@100C Tboard@37C GPU@39.5C BCPU@40.5C thermal@40.1C Tdiode@39.25C VDD_SYS_GPU 153/153 VDD_SYS_SOC 613/613 VDD_4V0_WIFI 95/179 VDD_IN 2683/2831 VDD_SYS_CPU 229/306 VDD_SYS_DDR 706/716
RAM 1235/7860MB (lfb 1345x4MB) SWAP 0/3930MB (cached 0MB) CPU [16%@345,off,off,14%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@40.5C MCPU@40.5C PMIC@100C Tboard@37C GPU@39.5C BCPU@40.5C thermal@40.1C Tdiode@39.25C VDD_SYS_GPU 153/153 VDD_SYS_SOC 613/613 VDD_4V0_WIFI 76/169 VDD_IN 2645/2812 VDD_SYS_CPU 229/298 VDD_SYS_DDR 706/715
RAM 1235/7860MB (lfb 1345x4MB) SWAP 0/3930MB (cached 0MB) CPU [0%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@41C MCPU@41C PMIC@100C Tboard@37C GPU@39.5C BCPU@41C thermal@40.1C Tdiode@39.25C VDD_SYS_GPU 153/153 VDD_SYS_SOC 613/613 VDD_4V0_WIFI 76/161 VDD_IN 2606/2794 VDD_SYS_CPU 229/292 VDD_SYS_DDR 706/714
