RAM 1235/7860MB (lfb 1346x4MB) SWAP 0/3930MB (cached 0MB) CPU [0%@499,off,off,0%@499,0%@499,0%@499] EMC_FREQ 0% GR3D_FREQ 0% PLL@40.5C MCPU@40.5C PMIC@100C Tboard@37C GPU@39.5C BCPU@40.5C thermal@40.1C Tdiode@39C VDD_SYS_GPU 153/153 VDD_SYS_SOC 613/613 VDD_4V0_WIFI 0/0 VDD_IN 2568/2568 VDD_SYS_CPU 230/230 VDD_SYS_DDR 706/706
RAM 1235/7860MB (lfb 1346x4MB) SWAP 0/3930MB (cached 0MB) CPU [28%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@40.5C MCPU@40.5C PMIC@100C Tboard@37C GPU@39.5C BCPU@40.5C thermal@40.1C Tdiode@39C VDD_SYS_GPU 153/153 VDD_SYS_SOC 613/613 VDD_4V0_WIFI 0/0 VDD_IN 2530/2549 VDD_SYS_CPU 230/230 VDD_SYS_DDR 706/706
RAM 1235/7860MB (lfb 1346x4MB) SWAP 0/3930MB (cached 0MB) CPU [0%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@40.5C MCPU@40.5C PMIC@100C Tboard@37C GPU@39.5C BCPU@40.5C thermal@40.1C Tdiode@39C VDD_SYS_GPU 153/153 VDD_SYS_SOC 613/613 VDD_4V0_WIFI 0/0 VDD_IN 2530/2542 VDD_SYS_CPU 230/230 VDD_SYS_DDR 706/706
RAM 1235/7860MB (lfb 1346x4MB) SWAP 0/3930MB (cached 0MB) CPU [0%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@40.5C MCPU@40.5C PMIC@100C Tboard@37C GPU@39.5C BCPU@40.5C thermal@40.1C Tdiode@39C VDD_SYS_GPU 153/153 VDD_SYS_SOC 613/613 VDD_4V0_WIFI 0/0 VDD_IN 2530/2539 VDD_SYS_CPU 230/230 VDD_SYS_DDR 706/706
RAM 1235/7860MB (lfb 1346x4MB) SWAP 0/3930MB (cached 0MB) CPU [16%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@40.5C MCPU@40.5C PMIC@100C Tboard@37C GPU@39.5C BCPU@40.5C thermal@40.1C Tdiode@39C VDD_SYS_GPU 153/153 VDD_SYS_SOC 613/613 VDD_4V0_WIFI 0/0 VDD_IN 2530/2537 VDD_SYS_CPU 230/230 VDD_SYS_DDR 706/706
RAM 1235/7860MB (lfb 1346x4MB) SWAP 0/3930MB (cached 0MB) CPU [0%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@40.5C MCPU@40.5C PMIC@100C Tboard@37C GPU@39.5C BCPU@40.5C thermal@40.1C Tdiode@39C VDD_SYS_GPU 153/153 VDD_SYS_SOC 613/613 VDD_4V0_WIFI 0/0 VDD_IN 2530/2536 VDD_SYS_CPU 230/230 VDD_SYS_DDR 706/706
RAM 1235/7860MB (lfb 1346x4MB) SWAP 0/3930MB (cached 0MB) CPU [0%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@40.5C MCPU@40.5C PMIC@100C Tboard@37C GPU@39.5C BCPU@40.5C thermal@40.1C Tdiode@39C VDD_SYS_GPU 153/153 VDD_SYS_SOC 613/613 VDD_4V0_WIFI 0/0 VDD_IN 2530/2535 VDD_SYS_CPU 230/230 VDD_SYS_DDR 706/706
RAM 1235/7860MB (lfb 1346x4MB) SWAP 0/3930MB (cached 0MB) CPU [0%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@40.5C MCPU@40.5C PMIC@100C Tboard@37C GPU@39.5C BCPU@40.5C thermal@40.1C Tdiode@39C VDD_SYS_GPU 153/153 VDD_SYS_SOC 613/613 VDD_4V0_WIFI 0/0 VDD_IN 2530/2534 VDD_SYS_CPU 229/229 VDD_SYS_DDR 706/706
RAM 1235/7860MB (lfb 1346x4MB) SWAP 0/3930MB (cached 0MB) CPU [28%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@40.5C MCPU@40.5C PMIC@100C Tboard@37C GPU@39.5C BCPU@40.5C thermal@40.1C Tdiode@39C VDD_SYS_GPU 153/153 VDD_SYS_SOC 613/613 VDD_4V0_WIFI 0/0 VDD_IN 2530/2534 VDD_SYS_CPU 229/229 VDD_SYS_DDR 706/706
RAM 1235/7860MB (lfb 1346x4MB) SWAP 0/3930MB (cached 0MB) CPU [16%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@40.5C MCPU@40.5C PMIC@100C Tboard@37C GPU@39.5C BCPU@40.5C thermal@40.1C Tdiode@39C VDD_SYS_GPU 153/153 VDD_SYS_SOC 613/613 VDD_4V0_WIFI 0/0 VDD_IN 2530/2533 VDD_SYS_CPU 229/229 VDD_SYS_DDR 706/706
RAM 1235/7860MB (lfb 1346x4MB) SWAP 0/3930MB (cached 0MB) CPU [0%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@40.5C MCPU@40.5C PMIC@100C Tboard@37C GPU@39.5C BCPU@40.5C thermal@40.1C Tdiode@39C VDD_SYS_GPU 153/153 VDD_SYS_SOC 613/613 VDD_4V0_WIFI 0/0 VDD_IN 2530/2533 VDD_SYS_CPU 230/229 VDD_SYS_DDR 706/706
RAM 1235/7860MB (lfb 1346x4MB) SWAP 0/3930MB (cached 0MB) CPU [16%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@40.5C MCPU@40.5C PMIC@100C Tboard@37C GPU@39.5C BCPU@40.5C thermal@40.1C Tdiode@39C VDD_SYS_GPU 153/153 VDD_SYS_SOC 613/613 VDD_4V0_WIFI 0/0 VDD_IN 2530/2533 VDD_SYS_CPU 229/229 VDD_SYS_DDR 706/706
RAM 1235/7860MB (lfb 1346x4MB) SWAP 0/3930MB (cached 0MB) CPU [0%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@40.5C MCPU@40.5C PMIC@100C Tboard@37C GPU@39.5C BCPU@40.5C thermal@40.1C Tdiode@39C VDD_SYS_GPU 153/153 VDD_SYS_SOC 613/613 VDD_4V0_WIFI 0/0 VDD_IN 2530/2532 VDD_SYS_CPU 230/229 VDD_SYS_DDR 706/706
RAM 1235/7860MB (lfb 1346x4MB) SWAP 0/3930MB (cached 0MB) CPU [28%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@40.5C MCPU@40.5C PMIC@100C Tboard@37C GPU@39.5C BCPU@40.5C thermal@40.1C Tdiode@39C VDD_SYS_GPU 153/153 VDD_SYS_SOC 613/613 VDD_4V0_WIFI 0/0 VDD_IN 2530/2532 VDD_SYS_CPU 229/229 VDD_SYS_DDR 706/706
RAM 1235/7860MB (lfb 1346x4MB) SWAP 0/3930MB (cached 0MB) CPU [0%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@40.5C MCPU@40.5C PMIC@100C Tboard@37C GPU@39.5C BCPU@40.5C thermal@40.1C Tdiode@39C VDD_SYS_GPU 153/153 VDD_SYS_SOC 613/613 VDD_4V0_WIFI 0/0 VDD_IN 2530/2532 VDD_SYS_CPU 230/229 VDD_SYS_DDR 706/706
RAM 1235/7860MB (lfb 1346x4MB) SWAP 0/3930MB (cached 0MB) CPU [0%@345,off,off,0%@345,14%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@40.5C MCPU@40.5C PMIC@100C Tboard@37C GPU@39.5C BCPU@40.5C thermal@40.1C Tdiode@39C VDD_SYS_GPU 153/153 VDD_SYS_SOC 613/613 VDD_4V0_WIFI 0/0 VDD_IN 2530/2532 VDD_SYS_CPU 229/229 VDD_SYS_DDR 706/706
RAM 1235/7860MB (lfb 1346x4MB) SWAP 0/3930MB (cached 0MB) CPU [16%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@40.5C MCPU@40.5C PMIC@100C Tboard@37C GPU@39.5C BCPU@40.5C thermal@40.1C Tdiode@39C VDD_SYS_GPU 153/153 VDD_SYS_SOC 613/613 VDD_4V0_WIFI 0/0 VDD_IN 2530/2532 VDD_SYS_CPU 229/229 VDD_SYS_DDR 706/706
