RAM 2207/15815MB (lfb 3144x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1497,0%@1497,16%@1497,0%@1497,0%@1497,0%@1497,25%@1497,14%@1497] EMC_FREQ 0% GR3D_FREQ 0% AO@43.5C GPU@45C Tdiode@46.75C PMIC@100C AUX@44.5C CPU@46C thermal@45.45C Tboard@45C GPU 310/310 CPU 932/932 SOC 932/932 CV 0/0 VDDRQ 155/155 SYS5V 1889/1889
RAM 2207/15815MB (lfb 3144x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,16%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 3% AO@43C GPU@45C Tdiode@46.75C PMIC@100C AUX@44.5C CPU@46C thermal@45.45C Tboard@45C GPU 310/310 CPU 932/932 SOC 932/932 CV 0/0 VDDRQ 155/155 SYS5V 1889/1889
RAM 2207/15815MB (lfb 3144x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@43C GPU@45C Tdiode@46.75C PMIC@100C AUX@44.5C CPU@46C thermal@45.45C Tboard@45C GPU 310/310 CPU 777/880 SOC 932/932 CV 0/0 VDDRQ 155/155 SYS5V 1889/1889
RAM 2207/15815MB (lfb 3144x4MB) SWAP 0/7907MB (cached 0MB) CPU [28%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@43C GPU@45C Tdiode@46.5C PMIC@100C AUX@44.5C CPU@45.5C thermal@45.45C Tboard@45C GPU 310/310 CPU 777/854 SOC 932/932 CV 0/0 VDDRQ 155/155 SYS5V 1889/1889
RAM 2207/15815MB (lfb 3144x4MB) SWAP 0/7907MB (cached 0MB) CPU [14%@1190,14%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@43C GPU@45C Tdiode@46.5C PMIC@100C AUX@44.5C CPU@46C thermal@45.1C Tboard@45C GPU 310/310 CPU 777/839 SOC 932/932 CV 0/0 VDDRQ 155/155 SYS5V 1889/1889
RAM 2207/15815MB (lfb 3144x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@43C GPU@45C Tdiode@46.5C PMIC@100C AUX@44.5C CPU@46C thermal@45.1C Tboard@45C GPU 310/310 CPU 777/828 SOC 932/932 CV 0/0 VDDRQ 155/155 SYS5V 1889/1889
RAM 2207/15815MB (lfb 3144x4MB) SWAP 0/7907MB (cached 0MB) CPU [16%@1651,16%@1651,0%@1651,0%@1651,0%@1651,0%@1651,0%@1651,0%@1651] EMC_FREQ 0% GR3D_FREQ 0% AO@43C GPU@45C Tdiode@46.5C PMIC@100C AUX@44.5C CPU@46C thermal@45.1C Tboard@45C GPU 310/310 CPU 777/821 SOC 932/932 CV 0/0 VDDRQ 155/155 SYS5V 1889/1889
RAM 2207/15815MB (lfb 3144x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,20%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@43C GPU@45C Tdiode@46.75C PMIC@100C AUX@44.5C CPU@46C thermal@45.1C Tboard@45C GPU 310/310 CPU 777/815 SOC 932/932 CV 0/0 VDDRQ 155/155 SYS5V 1889/1889
RAM 2207/15815MB (lfb 3144x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,28%@1190,0%@1190,0%@1190,14%@1190,0%@1190,0%@1190,14%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@43C GPU@45C Tdiode@46.75C PMIC@100C AUX@44.5C CPU@46C thermal@45.1C Tboard@45C GPU 310/310 CPU 777/811 SOC 932/932 CV 0/0 VDDRQ 155/155 SYS5V 1889/1889
RAM 2207/15815MB (lfb 3144x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,28%@1190,16%@1190] EMC_FREQ 0% GR3D_FREQ 15% AO@43C GPU@45C Tdiode@46.75C PMIC@100C AUX@44C CPU@46C thermal@45.1C Tboard@45C GPU 310/310 CPU 777/808 SOC 932/932 CV 0/0 VDDRQ 155/155 SYS5V 1889/1889
RAM 2207/15815MB (lfb 3144x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,16%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,14%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@43.5C GPU@45C Tdiode@46.75C PMIC@100C AUX@44C CPU@46C thermal@45.1C Tboard@45C GPU 310/310 CPU 777/805 SOC 932/932 CV 0/0 VDDRQ 155/155 SYS5V 1889/1889
