RAM 2398/15815MB (lfb 2904x4MB) SWAP 0/7907MB (cached 0MB) CPU [14%@1497,12%@1497,0%@1497,0%@1497,0%@1497,0%@1497,14%@1497,16%@1497] EMC_FREQ 0% GR3D_FREQ 0% AO@39.5C GPU@41.5C Tdiode@43C PMIC@100C AUX@40.5C CPU@42.5C thermal@41.9C Tboard@41C GPU 310/310 CPU 2793/2793 SOC 2171/2171 CV 0/0 VDDRQ 310/310 SYS5V 2411/2411
RAM 2398/15815MB (lfb 2904x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@39.5C GPU@41.5C Tdiode@43C PMIC@100C AUX@40.5C CPU@42.5C thermal@41.9C Tboard@41C GPU 310/310 CPU 2483/2638 SOC 2017/2094 CV 0/0 VDDRQ 310/310 SYS5V 2331/2371
RAM 2398/15815MB (lfb 2904x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,16%@1190,20%@1190,14%@1190] EMC_FREQ 0% GR3D_FREQ 16% AO@39.5C GPU@41.5C Tdiode@43C PMIC@100C AUX@40.5C CPU@42.5C thermal@41.9C Tboard@41C GPU 310/310 CPU 2173/2483 SOC 1863/2017 CV 0/0 VDDRQ 310/310 SYS5V 2250/2330
RAM 2398/15815MB (lfb 2904x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@39.5C GPU@41.5C Tdiode@43C PMIC@100C AUX@41C CPU@42.5C thermal@41.9C Tboard@41C GPU 310/310 CPU 2018/2366 SOC 1707/1939 CV 0/0 VDDRQ 310/310 SYS5V 2210/2300
RAM 2398/15815MB (lfb 2904x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@39.5C GPU@41.5C Tdiode@43C PMIC@100C AUX@41C CPU@42.5C thermal@41.9C Tboard@41C GPU 310/310 CPU 1863/2266 SOC 1552/1862 CV 0/0 VDDRQ 310/310 SYS5V 2170/2274
RAM 2398/15815MB (lfb 2904x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,14%@1190,0%@1190,0%@1190,0%@1190,14%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@39.5C GPU@41.5C Tdiode@43C PMIC@100C AUX@40.5C CPU@42C thermal@41.9C Tboard@41C GPU 310/310 CPU 1708/2173 SOC 1553/1810 CV 0/0 VDDRQ 310/310 SYS5V 2089/2243
RAM 2398/15815MB (lfb 2904x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@39.5C GPU@41.5C Tdiode@43C PMIC@100C AUX@40.5C CPU@42C thermal@41.9C Tboard@41C GPU 310/310 CPU 1553/2084 SOC 1397/1751 CV 0/0 VDDRQ 310/310 SYS5V 2089/2221
RAM 2398/15815MB (lfb 2904x4MB) SWAP 0/7907MB (cached 0MB) CPU [14%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@39.5C GPU@41.5C Tdiode@43C PMIC@100C AUX@40.5C CPU@42C thermal@41.9C Tboard@41C GPU 310/310 CPU 1398/1998 SOC 1397/1707 CV 0/0 VDDRQ 310/310 SYS5V 2049/2199
RAM 2398/15815MB (lfb 2904x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,28%@1190,0%@1190,0%@1190,0%@1190,14%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@39.5C GPU@41.5C Tdiode@43C PMIC@100C AUX@40.5C CPU@42C thermal@41.9C Tboard@41C GPU 310/310 CPU 1243/1914 SOC 1243/1655 CV 0/0 VDDRQ 310/310 SYS5V 2009/2178
RAM 2398/15815MB (lfb 2904x4MB) SWAP 0/7907MB (cached 0MB) CPU [16%@1190,0%@1190,14%@1190,0%@1190,14%@1190,14%@1190,14%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 4% AO@39.5C GPU@41.5C Tdiode@43C PMIC@100C AUX@40.5C CPU@42C thermal@41.9C Tboard@41C GPU 310/310 CPU 1243/1847 SOC 1243/1614 CV 0/0 VDDRQ 310/310 SYS5V 2009/2161
RAM 2398/15815MB (lfb 2904x4MB) SWAP 0/7907MB (cached 0MB) CPU [14%@1190,0%@1190,0%@1190,14%@1190,0%@1190,0%@1190,0%@1190,16%@1190] EMC_FREQ 0% GR3D_FREQ 5% AO@39.5C GPU@41.5C Tdiode@43C PMIC@100C AUX@40.5C CPU@42C thermal@41.9C Tboard@41C GPU 310/310 CPU 1243/1792 SOC 1243/1580 CV 0/0 VDDRQ 310/310 SYS5V 2009/2147
RAM 2398/15815MB (lfb 2904x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@39.5C GPU@41.5C Tdiode@43C PMIC@100C AUX@40.5C CPU@42C thermal@41.9C Tboard@41C GPU 310/310 CPU 1087/1733 SOC 1087/1539 CV 0/0 VDDRQ 310/310 SYS5V 1969/2132
RAM 2398/15815MB (lfb 2904x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@39.5C GPU@41.5C Tdiode@43C PMIC@100C AUX@40.5C CPU@42C thermal@41.9C Tboard@41C GPU 310/310 CPU 1087/1684 SOC 1087/1504 CV 0/0 VDDRQ 310/310 SYS5V 1969/2120
RAM 2398/15815MB (lfb 2904x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@39.5C GPU@41C Tdiode@43C PMIC@100C AUX@40.5C CPU@42C thermal@41.9C Tboard@41C GPU 310/310 CPU 932/1630 SOC 1087/1474 CV 0/0 VDDRQ 310/310 SYS5V 1969/2109
RAM 2398/15815MB (lfb 2904x4MB) SWAP 0/7907MB (cached 0MB) CPU [14%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@39.5C GPU@41.5C Tdiode@43C PMIC@100C AUX@40.5C CPU@42C thermal@41.9C Tboard@41C GPU 310/310 CPU 932/1583 SOC 1087/1448 CV 0/0 VDDRQ 310/310 SYS5V 1969/2100
RAM 2398/15815MB (lfb 2904x4MB) SWAP 0/7907MB (cached 0MB) CPU [14%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@39.5C GPU@41.5C Tdiode@43C PMIC@100C AUX@40.5C CPU@42C thermal@41.1C Tboard@41C GPU 310/310 CPU 776/1533 SOC 1087/1426 CV 0/0 VDDRQ 310/310 SYS5V 1969/2091
RAM 2398/15815MB (lfb 2904x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,14%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@39.5C GPU@41.5C Tdiode@43C PMIC@100C AUX@40.5C CPU@42C thermal@41.1C Tboard@41C GPU 310/310 CPU 776/1488 SOC 1087/1406 CV 0/0 VDDRQ 310/310 SYS5V 1969/2084
