RAM 2340/15815MB (lfb 3086x4MB) SWAP 0/7907MB (cached 0MB) CPU [28%@1190,0%@1190,20%@1190,28%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 13% AO@38C GPU@40C Tdiode@41.75C PMIC@100C AUX@39C CPU@40.5C thermal@39.75C Tboard@40C GPU 310/310 CPU 776/776 SOC 932/932 CV 0/0 VDDRQ 310/310 SYS5V 1889/1889
RAM 2340/15815MB (lfb 3086x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@38C GPU@40C Tdiode@41.75C PMIC@100C AUX@39.5C CPU@40.5C thermal@39.75C Tboard@40C GPU 310/310 CPU 776/776 SOC 932/932 CV 0/0 VDDRQ 310/310 SYS5V 1889/1889
RAM 2340/15815MB (lfb 3086x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,14%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@38C GPU@40C Tdiode@41.75C PMIC@100C AUX@39.5C CPU@40.5C thermal@39.75C Tboard@40C GPU 310/310 CPU 776/776 SOC 932/932 CV 0/0 VDDRQ 310/310 SYS5V 1889/1889
RAM 2340/15815MB (lfb 3086x4MB) SWAP 0/7907MB (cached 0MB) CPU [16%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@38C GPU@40C Tdiode@41.75C PMIC@100C AUX@39C CPU@40.5C thermal@39.75C Tboard@40C GPU 310/310 CPU 621/737 SOC 932/932 CV 0/0 VDDRQ 310/310 SYS5V 1889/1889
RAM 2340/15815MB (lfb 3086x4MB) SWAP 0/7907MB (cached 0MB) CPU [14%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@38C GPU@40C Tdiode@41.75C PMIC@100C AUX@39C CPU@40.5C thermal@39.75C Tboard@40C GPU 310/310 CPU 621/714 SOC 932/932 CV 0/0 VDDRQ 310/310 SYS5V 1889/1889
RAM 2340/15815MB (lfb 3086x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@38C GPU@40C Tdiode@41.75C PMIC@100C AUX@39C CPU@40.5C thermal@39.75C Tboard@40C GPU 310/310 CPU 621/698 SOC 932/932 CV 0/0 VDDRQ 310/310 SYS5V 1848/1882
RAM 2340/15815MB (lfb 3086x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1651,0%@1651,14%@1651,16%@1651,28%@1651,16%@1651,0%@1651,0%@1651] EMC_FREQ 0% GR3D_FREQ 0% AO@38C GPU@40C Tdiode@41.75C PMIC@100C AUX@39C CPU@40.5C thermal@39.75C Tboard@40C GPU 310/310 CPU 621/687 SOC 932/932 CV 0/0 VDDRQ 310/310 SYS5V 1848/1877
RAM 2340/15815MB (lfb 3086x4MB) SWAP 0/7907MB (cached 0MB) CPU [14%@1190,0%@1190,0%@1190,16%@1190,0%@1190,0%@1190,16%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@38C GPU@40C Tdiode@41.75C PMIC@100C AUX@39C CPU@40.5C thermal@39.75C Tboard@40C GPU 310/310 CPU 776/698 SOC 932/932 CV 0/0 VDDRQ 310/310 SYS5V 1889/1878
RAM 2340/15815MB (lfb 3086x4MB) SWAP 0/7907MB (cached 0MB) CPU [16%@1958,16%@1958,28%@1958,14%@1958,0%@1958,0%@1958,16%@1958,0%@1958] EMC_FREQ 0% GR3D_FREQ 5% AO@38C GPU@40C Tdiode@41.75C PMIC@100C AUX@39C CPU@40.5C thermal@39.75C Tboard@40C GPU 310/310 CPU 776/707 SOC 932/932 CV 0/0 VDDRQ 310/310 SYS5V 1889/1879
RAM 2340/15815MB (lfb 3086x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,16%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@38C GPU@40C Tdiode@41.75C PMIC@100C AUX@39C CPU@41C thermal@39.75C Tboard@40C GPU 310/310 CPU 776/714 SOC 932/932 CV 0/0 VDDRQ 310/310 SYS5V 1889/1880
RAM 2340/15815MB (lfb 3086x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,14%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@38C GPU@40C Tdiode@41.75C PMIC@100C AUX@39C CPU@40.5C thermal@39.75C Tboard@40C GPU 310/310 CPU 776/719 SOC 932/932 CV 0/0 VDDRQ 155/295 SYS5V 1889/1881
