RAM 2382/15815MB (lfb 3078x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1420,0%@1420,0%@1420,0%@1420,0%@1420,0%@1420,0%@1420,14%@1420] EMC_FREQ 0% GR3D_FREQ 0% AO@41.5C GPU@44C Tdiode@45C PMIC@100C AUX@42.5C CPU@44C thermal@43.25C Tboard@43C GPU 931/931 CPU 776/776 SOC 2328/2328 CV 0/0 VDDRQ 310/310 SYS5V 2451/2451
RAM 2382/15815MB (lfb 3078x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@41.5C GPU@43.5C Tdiode@44.5C PMIC@100C AUX@42.5C CPU@44C thermal@43.25C Tboard@43C GPU 931/931 CPU 621/698 SOC 2328/2328 CV 0/0 VDDRQ 310/310 SYS5V 2451/2451
RAM 2382/15815MB (lfb 3078x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,16%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@41.5C GPU@43.5C Tdiode@44.5C PMIC@100C AUX@42.5C CPU@44C thermal@43.25C Tboard@43C GPU 931/931 CPU 621/672 SOC 2328/2328 CV 0/0 VDDRQ 310/310 SYS5V 2451/2451
RAM 2382/15815MB (lfb 3078x4MB) SWAP 0/7907MB (cached 0MB) CPU [14%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@41.5C GPU@44C Tdiode@44.5C PMIC@100C AUX@42.5C CPU@44C thermal@43.25C Tboard@43C GPU 931/931 CPU 621/659 SOC 2328/2328 CV 0/0 VDDRQ 310/310 SYS5V 2451/2451
RAM 2382/15815MB (lfb 3078x4MB) SWAP 0/7907MB (cached 0MB) CPU [16%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,16%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@41.5C GPU@43.5C Tdiode@44.5C PMIC@100C AUX@42.5C CPU@44C thermal@43.25C Tboard@43C GPU 931/931 CPU 776/683 SOC 2328/2328 CV 0/0 VDDRQ 310/310 SYS5V 2451/2451
RAM 2382/15815MB (lfb 3078x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1574,0%@1574,0%@1574,16%@1574,0%@1574,0%@1574,0%@1574,0%@1574] EMC_FREQ 0% GR3D_FREQ 0% AO@42C GPU@44C Tdiode@44.75C PMIC@100C AUX@42C CPU@44C thermal@43.25C Tboard@43C GPU 931/931 CPU 776/698 SOC 2328/2328 CV 0/0 VDDRQ 310/310 SYS5V 2451/2451
RAM 2382/15815MB (lfb 3078x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,16%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@41.5C GPU@44C Tdiode@44.75C PMIC@100C AUX@42.5C CPU@44C thermal@43.25C Tboard@43C GPU 931/931 CPU 621/687 SOC 2328/2328 CV 0/0 VDDRQ 310/310 SYS5V 2451/2451
RAM 2382/15815MB (lfb 3078x4MB) SWAP 0/7907MB (cached 0MB) CPU [14%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,16%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@41.5C GPU@44C Tdiode@44.75C PMIC@100C AUX@42.5C CPU@44C thermal@43.25C Tboard@43C GPU 931/931 CPU 621/679 SOC 2328/2328 CV 0/0 VDDRQ 310/310 SYS5V 2451/2451
RAM 2382/15815MB (lfb 3078x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@41.5C GPU@44C Tdiode@44.75C PMIC@100C AUX@42.5C CPU@44C thermal@43.25C Tboard@43C GPU 931/931 CPU 621/672 SOC 2328/2328 CV 0/0 VDDRQ 310/310 SYS5V 2451/2451
RAM 2382/15815MB (lfb 3078x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,16%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@41.5C GPU@43.5C Tdiode@44.75C PMIC@100C AUX@42.5C CPU@44C thermal@43.25C Tboard@43C GPU 931/931 CPU 621/667 SOC 2328/2328 CV 0/0 VDDRQ 310/310 SYS5V 2451/2451
RAM 2382/15815MB (lfb 3078x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,16%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@41.5C GPU@44C Tdiode@44.75C PMIC@100C AUX@42.5C CPU@44C thermal@43.25C Tboard@43C GPU 931/931 CPU 621/663 SOC 2328/2328 CV 0/0 VDDRQ 310/310 SYS5V 2451/2451
RAM 2382/15815MB (lfb 3078x4MB) SWAP 0/7907MB (cached 0MB) CPU [16%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@41.5C GPU@43.5C Tdiode@44.75C PMIC@100C AUX@42.5C CPU@44C thermal@43.25C Tboard@43C GPU 931/931 CPU 621/659 SOC 2328/2328 CV 0/0 VDDRQ 310/310 SYS5V 2451/2451
RAM 2383/15815MB (lfb 3078x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,20%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@41.5C GPU@43.5C Tdiode@44.75C PMIC@100C AUX@42C CPU@44.5C thermal@43.25C Tboard@43C GPU 931/931 CPU 621/656 SOC 2328/2328 CV 0/0 VDDRQ 310/310 SYS5V 2451/2451
