RAM 2340/15815MB (lfb 3086x4MB) SWAP 0/7907MB (cached 0MB) CPU [14%@1420,14%@1420,0%@1420,0%@1420,16%@1420,14%@1420,0%@1420,0%@1420] EMC_FREQ 0% GR3D_FREQ 0% AO@38C GPU@40C Tdiode@41.5C PMIC@100C AUX@39C CPU@41C thermal@39.75C Tboard@40C GPU 310/310 CPU 776/776 SOC 932/932 CV 0/0 VDDRQ 155/155 SYS5V 1889/1889
RAM 2340/15815MB (lfb 3086x4MB) SWAP 0/7907MB (cached 0MB) CPU [14%@1190,16%@1190,14%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 3% AO@38C GPU@40C Tdiode@41.5C PMIC@100C AUX@39C CPU@40.5C thermal@39.75C Tboard@40C GPU 310/310 CPU 776/776 SOC 932/932 CV 0/0 VDDRQ 155/155 SYS5V 1889/1889
RAM 2340/15815MB (lfb 3086x4MB) SWAP 0/7907MB (cached 0MB) CPU [16%@1190,0%@1190,0%@1190,0%@1190,0%@1190,14%@1190,14%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@38C GPU@40C Tdiode@41.5C PMIC@100C AUX@39C CPU@40.5C thermal@39.75C Tboard@40C GPU 310/310 CPU 776/776 SOC 932/932 CV 0/0 VDDRQ 155/155 SYS5V 1889/1889
RAM 2340/15815MB (lfb 3086x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@38C GPU@40C Tdiode@41.75C PMIC@100C AUX@39C CPU@40.5C thermal@39.75C Tboard@40C GPU 310/310 CPU 776/776 SOC 932/932 CV 0/0 VDDRQ 155/155 SYS5V 1848/1878
RAM 2340/15815MB (lfb 3086x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,16%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@38C GPU@40C Tdiode@41.75C PMIC@100C AUX@39C CPU@40.5C thermal@39.75C Tboard@40C GPU 310/310 CPU 776/776 SOC 932/932 CV 0/0 VDDRQ 155/155 SYS5V 1848/1872
RAM 2340/15815MB (lfb 3086x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@38C GPU@40C Tdiode@41.75C PMIC@100C AUX@39C CPU@40.5C thermal@39.75C Tboard@40C GPU 310/310 CPU 621/750 SOC 932/932 CV 0/0 VDDRQ 155/155 SYS5V 1848/1868
RAM 2340/15815MB (lfb 3086x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@38C GPU@40C Tdiode@41.75C PMIC@100C AUX@39C CPU@40.5C thermal@39.75C Tboard@40C GPU 310/310 CPU 621/731 SOC 932/932 CV 0/0 VDDRQ 155/155 SYS5V 1848/1865
RAM 2340/15815MB (lfb 3086x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,16%@1190,0%@1190,0%@1190,20%@1190,0%@1190,14%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@38C GPU@40C Tdiode@41.5C PMIC@100C AUX@39C CPU@40.5C thermal@39.75C Tboard@40C GPU 310/310 CPU 776/737 SOC 932/932 CV 0/0 VDDRQ 155/155 SYS5V 1848/1863
RAM 2340/15815MB (lfb 3086x4MB) SWAP 0/7907MB (cached 0MB) CPU [14%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@38C GPU@40C Tdiode@41.5C PMIC@100C AUX@39C CPU@40.5C thermal@39.75C Tboard@40C GPU 310/310 CPU 777/741 SOC 932/932 CV 0/0 VDDRQ 155/155 SYS5V 1848/1861
RAM 2340/15815MB (lfb 3086x4MB) SWAP 0/7907MB (cached 0MB) CPU [14%@2265,0%@2265,0%@2265,14%@2265,0%@2265,16%@2265,20%@2265,16%@2265] EMC_FREQ 0% GR3D_FREQ 13% AO@38C GPU@40C Tdiode@41.5C PMIC@100C AUX@39C CPU@41C thermal@39.75C Tboard@40C GPU 310/310 CPU 776/745 SOC 932/932 CV 0/0 VDDRQ 155/155 SYS5V 1848/1860
RAM 2340/15815MB (lfb 3086x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@38C GPU@40C Tdiode@41.5C PMIC@100C AUX@39C CPU@40.5C thermal@39.75C Tboard@40C GPU 310/310 CPU 776/747 SOC 932/932 CV 0/0 VDDRQ 155/155 SYS5V 1848/1859
