RAM 1475/15815MB (lfb 3374x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@2265,0%@2265,0%@2265,0%@2265,0%@2265,0%@2265,0%@2265,0%@2265] EMC_FREQ 0% GR3D_FREQ 0% AO@39C GPU@41C Tdiode@42.25C PMIC@100C AUX@39.5C CPU@41.5C thermal@40.55C Tboard@41C GPU 931/931 CPU 776/776 SOC 2174/2174 CV 0/0 VDDRQ 310/310 SYS5V 2250/2250
RAM 1475/15815MB (lfb 3374x4MB) SWAP 0/7907MB (cached 0MB) CPU [28%@1344,0%@1344,16%@1344,16%@1344,25%@1344,14%@1344,0%@1344,0%@1344] EMC_FREQ 0% GR3D_FREQ 0% AO@38.5C GPU@41C Tdiode@42.25C PMIC@100C AUX@40C CPU@41.5C thermal@40.55C Tboard@41C GPU 931/931 CPU 776/776 SOC 2174/2174 CV 0/0 VDDRQ 310/310 SYS5V 2250/2250
RAM 1475/15815MB (lfb 3374x4MB) SWAP 0/7907MB (cached 0MB) CPU [14%@1190,0%@1190,0%@1190,0%@1190,14%@1190,0%@1190,0%@1190,16%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@39C GPU@41C Tdiode@42.25C PMIC@100C AUX@39.5C CPU@41C thermal@40.55C Tboard@41C GPU 931/931 CPU 776/776 SOC 2174/2174 CV 0/0 VDDRQ 310/310 SYS5V 2250/2250
RAM 1475/15815MB (lfb 3374x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@39C GPU@41C Tdiode@42.25C PMIC@100C AUX@40C CPU@41.5C thermal@40.55C Tboard@41C GPU 931/931 CPU 776/776 SOC 2174/2174 CV 0/0 VDDRQ 310/310 SYS5V 2250/2250
RAM 1475/15815MB (lfb 3374x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@39C GPU@41C Tdiode@42.25C PMIC@100C AUX@40C CPU@41.5C thermal@40.55C Tboard@41C GPU 931/931 CPU 776/776 SOC 2174/2174 CV 0/0 VDDRQ 310/310 SYS5V 2250/2250
RAM 1475/15815MB (lfb 3374x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@39C GPU@41C Tdiode@42.25C PMIC@100C AUX@40C CPU@41.5C thermal@40.55C Tboard@41C GPU 931/931 CPU 621/750 SOC 2174/2174 CV 0/0 VDDRQ 310/310 SYS5V 2250/2250
RAM 1475/15815MB (lfb 3374x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@39C GPU@41C Tdiode@42.25C PMIC@100C AUX@39.5C CPU@41.5C thermal@40.55C Tboard@41C GPU 931/931 CPU 621/731 SOC 2174/2174 CV 0/0 VDDRQ 310/310 SYS5V 2250/2250
RAM 1475/15815MB (lfb 3374x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@39C GPU@41.5C Tdiode@42.25C PMIC@100C AUX@39.5C CPU@41.5C thermal@40.55C Tboard@41C GPU 931/931 CPU 621/717 SOC 2174/2174 CV 0/0 VDDRQ 310/310 SYS5V 2250/2250
RAM 1475/15815MB (lfb 3374x4MB) SWAP 0/7907MB (cached 0MB) CPU [16%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,14%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@39C GPU@41.5C Tdiode@42.25C PMIC@100C AUX@39.5C CPU@41C thermal@40.55C Tboard@41C GPU 931/931 CPU 621/707 SOC 2174/2174 CV 0/0 VDDRQ 310/310 SYS5V 2250/2250
RAM 1475/15815MB (lfb 3374x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@39C GPU@41C Tdiode@42.25C PMIC@100C AUX@39.5C CPU@41.5C thermal@40.55C Tboard@41C GPU 931/931 CPU 621/698 SOC 2174/2174 CV 0/0 VDDRQ 310/310 SYS5V 2250/2250
RAM 1475/15815MB (lfb 3374x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@39C GPU@41C Tdiode@42.25C PMIC@100C AUX@40C CPU@41.5C thermal@40.55C Tboard@41C GPU 931/931 CPU 621/691 SOC 2174/2174 CV 0/0 VDDRQ 155/295 SYS5V 2250/2250
RAM 1475/15815MB (lfb 3374x4MB) SWAP 0/7907MB (cached 0MB) CPU [16%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@39C GPU@41C Tdiode@42.25C PMIC@100C AUX@39.5C CPU@41.5C thermal@40.55C Tboard@41C GPU 931/931 CPU 621/685 SOC 2174/2174 CV 0/0 VDDRQ 310/297 SYS5V 2250/2250
RAM 1475/15815MB (lfb 3374x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@39C GPU@41C Tdiode@42.25C PMIC@100C AUX@39.5C CPU@41.5C thermal@40.55C Tboard@41C GPU 931/931 CPU 621/680 SOC 2174/2174 CV 0/0 VDDRQ 310/298 SYS5V 2250/2250
RAM 1475/15815MB (lfb 3374x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@39C GPU@41C Tdiode@42.25C PMIC@100C AUX@39.5C CPU@41.5C thermal@40.55C Tboard@41C GPU 931/931 CPU 621/676 SOC 2174/2174 CV 0/0 VDDRQ 155/287 SYS5V 2210/2247
RAM 1475/15815MB (lfb 3374x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@39C GPU@41C Tdiode@42.25C PMIC@100C AUX@39.5C CPU@41.5C thermal@40.55C Tboard@41C GPU 931/931 CPU 621/672 SOC 2174/2174 CV 0/0 VDDRQ 310/289 SYS5V 2250/2247
