RAM 1477/15815MB (lfb 3373x4MB) SWAP 0/7907MB (cached 0MB) CPU [42%@1651,42%@1651,33%@1651,33%@1651,40%@1651,33%@1651,33%@1651,50%@1651] EMC_FREQ 0% GR3D_FREQ 3% AO@40C GPU@42.5C Tdiode@43.5C PMIC@100C AUX@41C CPU@43.5C thermal@41.9C Tboard@42C GPU 931/931 CPU 1087/1087 SOC 2329/2329 CV 0/0 VDDRQ 310/310 SYS5V 2250/2250
RAM 1477/15815MB (lfb 3373x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@40.5C GPU@42.5C Tdiode@43.5C PMIC@100C AUX@41C CPU@42.5C thermal@41.9C Tboard@42C GPU 931/931 CPU 931/1009 SOC 2329/2329 CV 0/0 VDDRQ 310/310 SYS5V 2250/2250
RAM 1477/15815MB (lfb 3373x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,14%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@40.5C GPU@42.5C Tdiode@43.25C PMIC@100C AUX@41C CPU@42.5C thermal@41.9C Tboard@42C GPU 931/931 CPU 931/983 SOC 2174/2277 CV 0/0 VDDRQ 310/310 SYS5V 2250/2250
RAM 1477/15815MB (lfb 3373x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@40.5C GPU@42.5C Tdiode@43.25C PMIC@100C AUX@41.5C CPU@42.5C thermal@41.9C Tboard@42C GPU 931/931 CPU 931/970 SOC 2174/2251 CV 0/0 VDDRQ 310/310 SYS5V 2250/2250
RAM 1477/15815MB (lfb 3373x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@40C GPU@42.5C Tdiode@43.25C PMIC@100C AUX@41C CPU@42.5C thermal@41.9C Tboard@42C GPU 931/931 CPU 776/931 SOC 2174/2236 CV 0/0 VDDRQ 310/310 SYS5V 2250/2250
RAM 1477/15815MB (lfb 3373x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@40.5C GPU@42.5C Tdiode@43.25C PMIC@100C AUX@41C CPU@42.5C thermal@42.05C Tboard@42C GPU 931/931 CPU 776/905 SOC 2174/2225 CV 0/0 VDDRQ 310/310 SYS5V 2250/2250
RAM 1477/15815MB (lfb 3373x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@40.5C GPU@42.5C Tdiode@43.25C PMIC@100C AUX@41C CPU@42.5C thermal@42.05C Tboard@42C GPU 931/931 CPU 776/886 SOC 2174/2218 CV 0/0 VDDRQ 310/310 SYS5V 2250/2250
RAM 1477/15815MB (lfb 3373x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@40C GPU@42.5C Tdiode@43.5C PMIC@100C AUX@41C CPU@42.5C thermal@42.05C Tboard@42C GPU 931/931 CPU 776/873 SOC 2174/2212 CV 0/0 VDDRQ 310/310 SYS5V 2250/2250
RAM 1477/15815MB (lfb 3373x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,14%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@40.5C GPU@42.5C Tdiode@43.5C PMIC@100C AUX@41C CPU@42.5C thermal@42.05C Tboard@42C GPU 931/931 CPU 621/845 SOC 2174/2208 CV 0/0 VDDRQ 310/310 SYS5V 2250/2250
RAM 1477/15815MB (lfb 3373x4MB) SWAP 0/7907MB (cached 0MB) CPU [14%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@40.5C GPU@42.5C Tdiode@43.5C PMIC@100C AUX@41C CPU@42.5C thermal@42.05C Tboard@42C GPU 931/931 CPU 621/822 SOC 2174/2205 CV 0/0 VDDRQ 310/310 SYS5V 2250/2250
RAM 1477/15815MB (lfb 3373x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,14%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@40.5C GPU@42.5C Tdiode@43.5C PMIC@100C AUX@41C CPU@42.5C thermal@42.05C Tboard@42C GPU 931/931 CPU 621/804 SOC 2174/2202 CV 0/0 VDDRQ 155/295 SYS5V 2250/2250
