RAM 1485/15815MB (lfb 3373x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1267,20%@1267,0%@1267,0%@1267,0%@1267,0%@1267,0%@1267,0%@1267] EMC_FREQ 0% GR3D_FREQ 0% AO@45C GPU@47C Tdiode@48C PMIC@100C AUX@46C CPU@47.5C thermal@46.7C Tboard@46C GPU 931/931 CPU 621/621 SOC 2329/2329 CV 0/0 VDDRQ 310/310 SYS5V 2250/2250
RAM 1485/15815MB (lfb 3373x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,16%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@45C GPU@47C Tdiode@48C PMIC@100C AUX@45.5C CPU@47.5C thermal@46.7C Tboard@46C GPU 1087/1009 CPU 621/621 SOC 2329/2329 CV 0/0 VDDRQ 310/310 SYS5V 2250/2250
RAM 1485/15815MB (lfb 3373x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@45C GPU@47C Tdiode@48C PMIC@100C AUX@46C CPU@47.5C thermal@46.7C Tboard@46C GPU 1087/1035 CPU 621/621 SOC 2329/2329 CV 0/0 VDDRQ 310/310 SYS5V 2250/2250
RAM 1485/15815MB (lfb 3373x4MB) SWAP 0/7907MB (cached 0MB) CPU [28%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@45C GPU@47C Tdiode@48C PMIC@100C AUX@45.5C CPU@47.5C thermal@46.7C Tboard@46C GPU 1087/1048 CPU 621/621 SOC 2329/2329 CV 0/0 VDDRQ 310/310 SYS5V 2250/2250
RAM 1485/15815MB (lfb 3373x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@45C GPU@47C Tdiode@48C PMIC@100C AUX@45.5C CPU@47.5C thermal@46.7C Tboard@46C GPU 931/1024 CPU 621/621 SOC 2329/2329 CV 0/0 VDDRQ 310/310 SYS5V 2250/2250
RAM 1485/15815MB (lfb 3373x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@45C GPU@47C Tdiode@48C PMIC@100C AUX@46C CPU@47.5C thermal@46.7C Tboard@46C GPU 931/1009 CPU 621/621 SOC 2329/2329 CV 0/0 VDDRQ 155/284 SYS5V 2250/2250
RAM 1485/15815MB (lfb 3373x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@45C GPU@47C Tdiode@48C PMIC@100C AUX@46C CPU@47C thermal@46.7C Tboard@46C GPU 931/997 CPU 621/621 SOC 2329/2329 CV 0/0 VDDRQ 310/287 SYS5V 2250/2250
RAM 1485/15815MB (lfb 3373x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@45C GPU@47C Tdiode@48C PMIC@100C AUX@45.5C CPU@47.5C thermal@46.7C Tboard@46C GPU 931/989 CPU 621/621 SOC 2329/2329 CV 0/0 VDDRQ 310/290 SYS5V 2250/2250
RAM 1485/15815MB (lfb 3373x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,14%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@45C GPU@47C Tdiode@48C PMIC@100C AUX@45.5C CPU@47.5C thermal@46.7C Tboard@46C GPU 931/983 CPU 621/621 SOC 2329/2329 CV 0/0 VDDRQ 155/275 SYS5V 2250/2250
RAM 1485/15815MB (lfb 3373x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@45C GPU@47C Tdiode@48C PMIC@100C AUX@46C CPU@47.5C thermal@46.7C Tboard@46C GPU 931/977 CPU 621/621 SOC 2329/2329 CV 0/0 VDDRQ 310/279 SYS5V 2250/2250
RAM 1485/15815MB (lfb 3373x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@45C GPU@47C Tdiode@48C PMIC@100C AUX@45.5C CPU@47.5C thermal@46.75C Tboard@46C GPU 931/973 CPU 621/621 SOC 2329/2329 CV 0/0 VDDRQ 310/281 SYS5V 2250/2250
