RAM 1486/15815MB (lfb 3373x4MB) SWAP 0/7907MB (cached 0MB) CPU [16%@2265,37%@2265,0%@2265,28%@2265,0%@2265,0%@2265,20%@2265,42%@2265] EMC_FREQ 0% GR3D_FREQ 0% AO@44C GPU@45.5C Tdiode@47C PMIC@100C AUX@44.5C CPU@47C thermal@45.1C Tboard@46C GPU 310/310 CPU 1243/1243 SOC 1088/1088 CV 0/0 VDDRQ 155/155 SYS5V 1768/1768
RAM 1488/15815MB (lfb 3373x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@2265,0%@2265,0%@2265,33%@2265,33%@2265,33%@2265,0%@2265,0%@2035] EMC_FREQ 0% GR3D_FREQ 0% AO@44C GPU@45C Tdiode@47C PMIC@100C AUX@45C CPU@46.5C thermal@45.1C Tboard@46C GPU 310/310 CPU 1399/1321 SOC 1088/1088 CV 0/0 VDDRQ 155/155 SYS5V 1808/1788
RAM 1488/15815MB (lfb 3373x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@2265,0%@2265,0%@2265,14%@2265,40%@2265,0%@2265,0%@2265,33%@2265] EMC_FREQ 0% GR3D_FREQ 0% AO@44C GPU@45.5C Tdiode@47C PMIC@100C AUX@45C CPU@47C thermal@45.1C Tboard@46C GPU 310/310 CPU 1554/1398 SOC 1243/1139 CV 0/0 VDDRQ 310/206 SYS5V 1889/1821
RAM 1494/15815MB (lfb 3373x4MB) SWAP 0/7907MB (cached 0MB) CPU [16%@2265,14%@2265,0%@2265,16%@2265,100%@2265,0%@2265,0%@2265,0%@2265] EMC_FREQ 0% GR3D_FREQ 0% AO@44C GPU@45.5C Tdiode@47C PMIC@100C AUX@45C CPU@47C thermal@45.1C Tboard@46C GPU 310/310 CPU 1709/1476 SOC 1398/1204 CV 0/0 VDDRQ 310/232 SYS5V 1929/1848
RAM 1498/15815MB (lfb 3372x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@2265,0%@2265,0%@2265,0%@2265,100%@2265,0%@2265,0%@2265,0%@2265] EMC_FREQ 0% GR3D_FREQ 0% AO@44C GPU@45.5C Tdiode@47C PMIC@100C AUX@45C CPU@47C thermal@45.1C Tboard@46C GPU 310/310 CPU 1864/1553 SOC 1553/1274 CV 0/0 VDDRQ 310/248 SYS5V 1969/1872
RAM 1498/15815MB (lfb 3372x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@2265,0%@2265,0%@2265,0%@2265,100%@2265,0%@2265,0%@2265,0%@2265] EMC_FREQ 0% GR3D_FREQ 0% AO@43.5C GPU@45.5C Tdiode@47C PMIC@100C AUX@45C CPU@47C thermal@45.1C Tboard@46C GPU 310/310 CPU 2020/1631 SOC 1553/1320 CV 0/0 VDDRQ 310/258 SYS5V 2009/1895
RAM 1498/15815MB (lfb 3372x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@2265,0%@2265,0%@2265,0%@2265,100%@2265,0%@2265,0%@2265,0%@2265] EMC_FREQ 0% GR3D_FREQ 0% AO@44C GPU@45.5C Tdiode@47C PMIC@100C AUX@45C CPU@46.5C thermal@45.1C Tboard@46C GPU 310/310 CPU 2019/1686 SOC 1708/1375 CV 0/0 VDDRQ 310/265 SYS5V 2049/1917
RAM 1498/15815MB (lfb 3372x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@2265,0%@2265,0%@2265,0%@2265,100%@2265,0%@2265,0%@2265,0%@2265] EMC_FREQ 0% GR3D_FREQ 0% AO@44C GPU@45.5C Tdiode@47C PMIC@100C AUX@45C CPU@46.5C thermal@45.1C Tboard@46C GPU 310/310 CPU 2174/1747 SOC 1708/1417 CV 0/0 VDDRQ 310/271 SYS5V 2089/1938
RAM 1498/15815MB (lfb 3372x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@2265,0%@2265,0%@2265,0%@2265,100%@2265,0%@2265,0%@2265,14%@2265] EMC_FREQ 0% GR3D_FREQ 0% AO@44C GPU@45.5C Tdiode@47C PMIC@100C AUX@45C CPU@47C thermal@45.1C Tboard@46C GPU 310/310 CPU 2174/1795 SOC 1863/1466 CV 0/0 VDDRQ 310/275 SYS5V 2089/1955
RAM 1487/15815MB (lfb 3373x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@2265,14%@2265,16%@2265,16%@2265,57%@2265,28%@2265,16%@2265,0%@2265] EMC_FREQ 0% GR3D_FREQ 0% AO@44C GPU@45.5C Tdiode@47C PMIC@100C AUX@44.5C CPU@47C thermal@45.1C Tboard@46C GPU 310/310 CPU 2329/1848 SOC 1863/1506 CV 0/0 VDDRQ 310/279 SYS5V 2130/1972
RAM 1486/15815MB (lfb 3373x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1881,50%@1881,16%@1881,0%@1881,0%@1881,0%@1881,0%@1881,0%@1881] EMC_FREQ 0% GR3D_FREQ 0% AO@44C GPU@45.5C Tdiode@47C PMIC@100C AUX@45C CPU@47C thermal@45.1C Tboard@46C GPU 310/310 CPU 2329/1892 SOC 1863/1538 CV 0/0 VDDRQ 310/281 SYS5V 2130/1987
RAM 1487/15815MB (lfb 3373x4MB) SWAP 0/7907MB (cached 0MB) CPU [14%@1958,14%@1958,14%@1958,16%@1958,16%@1958,42%@1958,16%@1958,14%@1958] EMC_FREQ 0% GR3D_FREQ 0% AO@44C GPU@45.5C Tdiode@47C PMIC@100C AUX@45C CPU@47C thermal@45.1C Tboard@46C GPU 310/310 CPU 2329/1928 SOC 1863/1565 CV 0/0 VDDRQ 310/284 SYS5V 2130/1999
RAM 1488/15815MB (lfb 3373x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1881,16%@1881,33%@1881,16%@1881,42%@1881,16%@1881,0%@1881,0%@1881] EMC_FREQ 0% GR3D_FREQ 0% AO@44C GPU@45.5C Tdiode@47C PMIC@100C AUX@45C CPU@47C thermal@45.55C Tboard@46C GPU 310/310 CPU 2329/1959 SOC 1863/1588 CV 0/0 VDDRQ 310/286 SYS5V 2170/2012
RAM 1488/15815MB (lfb 3373x4MB) SWAP 0/7907MB (cached 0MB) CPU [16%@1881,0%@1881,20%@1881,0%@1881,28%@1881,16%@1881,37%@1881,14%@1881] EMC_FREQ 0% GR3D_FREQ 0% AO@44C GPU@45.5C Tdiode@47C PMIC@100C AUX@45C CPU@47C thermal@45.55C Tboard@46C GPU 310/310 CPU 2329/1985 SOC 1863/1608 CV 0/0 VDDRQ 310/287 SYS5V 2170/2023
RAM 1485/15815MB (lfb 3373x4MB) SWAP 0/7907MB (cached 0MB) CPU [14%@2265,12%@2265,0%@2265,0%@2265,0%@2265,0%@2265,0%@2265,0%@2265] EMC_FREQ 0% GR3D_FREQ 0% AO@44C GPU@45.5C Tdiode@47C PMIC@100C AUX@45C CPU@46.5C thermal@45.55C Tboard@46C GPU 310/310 CPU 2174/1998 SOC 1708/1615 CV 0/0 VDDRQ 310/289 SYS5V 2089/2027
