RAM 1486/15815MB (lfb 3373x4MB) SWAP 0/7907MB (cached 0MB) CPU [16%@1728,0%@1728,0%@1728,16%@1728,0%@1728,16%@1728,25%@1728,28%@1728] EMC_FREQ 0% GR3D_FREQ 0% AO@43.5C GPU@45C Tdiode@46.75C PMIC@100C AUX@44.5C CPU@46.5C thermal@45.25C Tboard@45C GPU 311/311 CPU 777/777 SOC 933/933 CV 0/0 VDDRQ 155/155 SYS5V 1768/1768
RAM 1486/15815MB (lfb 3373x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,14%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@43.5C GPU@45.5C Tdiode@47C PMIC@100C AUX@44.5C CPU@46C thermal@45.25C Tboard@45C GPU 311/311 CPU 777/777 SOC 933/933 CV 0/0 VDDRQ 155/155 SYS5V 1728/1748
RAM 1486/15815MB (lfb 3373x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,14%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,16%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@44C GPU@45.5C Tdiode@47C PMIC@100C AUX@44.5C CPU@46C thermal@45.25C Tboard@45C GPU 311/311 CPU 777/777 SOC 933/933 CV 0/0 VDDRQ 155/155 SYS5V 1728/1741
RAM 1486/15815MB (lfb 3373x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,14%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@43.5C GPU@45.5C Tdiode@47C PMIC@100C AUX@44.5C CPU@46C thermal@45.25C Tboard@45C GPU 311/311 CPU 777/777 SOC 933/933 CV 0/0 VDDRQ 155/155 SYS5V 1728/1738
RAM 1486/15815MB (lfb 3373x4MB) SWAP 0/7907MB (cached 0MB) CPU [14%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@43.5C GPU@45.5C Tdiode@47C PMIC@100C AUX@44.5C CPU@46C thermal@45.25C Tboard@45C GPU 311/311 CPU 622/746 SOC 933/933 CV 0/0 VDDRQ 155/155 SYS5V 1688/1728
RAM 1486/15815MB (lfb 3373x4MB) SWAP 0/7907MB (cached 0MB) CPU [16%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@43.5C GPU@45.5C Tdiode@46.75C PMIC@100C AUX@44.5C CPU@46C thermal@45.25C Tboard@45C GPU 311/311 CPU 622/725 SOC 933/933 CV 0/0 VDDRQ 155/155 SYS5V 1688/1721
RAM 1486/15815MB (lfb 3373x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@43.5C GPU@45.5C Tdiode@46.75C PMIC@100C AUX@44.5C CPU@46C thermal@45.25C Tboard@45C GPU 311/311 CPU 622/710 SOC 933/933 CV 0/0 VDDRQ 155/155 SYS5V 1688/1716
RAM 1485/15815MB (lfb 3373x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,16%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@43.5C GPU@45.5C Tdiode@46.75C PMIC@100C AUX@44.5C CPU@46C thermal@45.25C Tboard@45C GPU 311/311 CPU 622/699 SOC 933/933 CV 0/0 VDDRQ 155/155 SYS5V 1688/1713
RAM 1485/15815MB (lfb 3373x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@43.5C GPU@45.5C Tdiode@46.75C PMIC@100C AUX@44.5C CPU@46C thermal@45.25C Tboard@45C GPU 311/311 CPU 622/690 SOC 933/933 CV 0/0 VDDRQ 155/155 SYS5V 1688/1710
RAM 1485/15815MB (lfb 3373x4MB) SWAP 0/7907MB (cached 0MB) CPU [16%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@43.5C GPU@45.5C Tdiode@46.75C PMIC@100C AUX@44.5C CPU@46C thermal@45.25C Tboard@45C GPU 311/311 CPU 622/684 SOC 933/933 CV 0/0 VDDRQ 155/155 SYS5V 1688/1708
RAM 1485/15815MB (lfb 3373x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@43.5C GPU@45.5C Tdiode@46.75C PMIC@100C AUX@44.5C CPU@46C thermal@45.25C Tboard@45C GPU 311/311 CPU 622/678 SOC 933/933 CV 0/0 VDDRQ 155/155 SYS5V 1688/1706
