RAM 1485/15815MB (lfb 3373x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,14%@1190,16%@1190,14%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@43.5C GPU@45.5C Tdiode@46.75C PMIC@100C AUX@44.5C CPU@46C thermal@45.1C Tboard@45C GPU 311/311 CPU 622/622 SOC 933/933 CV 0/0 VDDRQ 155/155 SYS5V 1647/1647
RAM 1485/15815MB (lfb 3373x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@43.5C GPU@45C Tdiode@46.75C PMIC@100C AUX@44.5C CPU@46C thermal@45.1C Tboard@45C GPU 311/311 CPU 622/622 SOC 777/855 CV 0/0 VDDRQ 155/155 SYS5V 1647/1647
RAM 1485/15815MB (lfb 3373x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,16%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@43.5C GPU@45C Tdiode@46.75C PMIC@100C AUX@44.5C CPU@46C thermal@45.1C Tboard@45C GPU 311/311 CPU 622/622 SOC 777/829 CV 0/0 VDDRQ 155/155 SYS5V 1647/1647
RAM 1485/15815MB (lfb 3373x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@43.5C GPU@45C Tdiode@46.75C PMIC@100C AUX@44.5C CPU@45.5C thermal@45.1C Tboard@45C GPU 311/311 CPU 622/622 SOC 777/816 CV 0/0 VDDRQ 155/155 SYS5V 1647/1647
RAM 1485/15815MB (lfb 3373x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@43.5C GPU@45C Tdiode@46.75C PMIC@100C AUX@44.5C CPU@45.5C thermal@45.1C Tboard@45C GPU 311/311 CPU 622/622 SOC 777/808 CV 0/0 VDDRQ 155/155 SYS5V 1647/1647
RAM 1485/15815MB (lfb 3373x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@43.5C GPU@45.5C Tdiode@46.75C PMIC@100C AUX@44.5C CPU@45.5C thermal@45.1C Tboard@45C GPU 311/311 CPU 622/622 SOC 777/803 CV 0/0 VDDRQ 155/155 SYS5V 1647/1647
RAM 1485/15815MB (lfb 3373x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,14%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@43.5C GPU@45C Tdiode@46.75C PMIC@100C AUX@44.5C CPU@45.5C thermal@45.1C Tboard@45C GPU 311/311 CPU 622/622 SOC 777/799 CV 0/0 VDDRQ 155/155 SYS5V 1647/1647
RAM 1485/15815MB (lfb 3373x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,14%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@43.5C GPU@45C Tdiode@46.75C PMIC@100C AUX@44.5C CPU@45.5C thermal@45.1C Tboard@45C GPU 311/311 CPU 622/622 SOC 777/796 CV 0/0 VDDRQ 155/155 SYS5V 1647/1647
RAM 1485/15815MB (lfb 3373x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@44C GPU@45C Tdiode@46.75C PMIC@100C AUX@44.5C CPU@46C thermal@45.1C Tboard@45C GPU 311/311 CPU 622/622 SOC 777/794 CV 0/0 VDDRQ 155/155 SYS5V 1647/1647
RAM 1485/15815MB (lfb 3373x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@43.5C GPU@45C Tdiode@46.75C PMIC@100C AUX@44.5C CPU@46C thermal@45.1C Tboard@45C GPU 311/311 CPU 622/622 SOC 777/792 CV 0/0 VDDRQ 155/155 SYS5V 1647/1647
RAM 1485/15815MB (lfb 3373x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@43.5C GPU@45C Tdiode@46.75C PMIC@100C AUX@44.5C CPU@46C thermal@45.1C Tboard@45C GPU 311/311 CPU 622/622 SOC 777/791 CV 0/0 VDDRQ 155/155 SYS5V 1647/1647
