RAM 1489/15815MB (lfb 3395x4MB) SWAP 0/7907MB (cached 0MB) CPU [25%@1261,0%@1190,0%@1190,0%@1190,28%@1409,0%@1420,0%@1635,0%@1657] EMC_FREQ 0%@2133 GR3D_FREQ 0%@1377 APE 150 MTS fg 0% bg 6% AO@32.5C GPU@36C Tdiode@35.5C PMIC@100C AUX@32.5C CPU@34.5C thermal@33.85C Tboard@33C GPU 4652/4652 CPU 620/620 SOC 2171/2171 CV 0/0 VDDRQ 310/310 SYS5V 2250/2250
RAM 1489/15815MB (lfb 3395x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1267,0%@1267] EMC_FREQ 0%@2133 GR3D_FREQ 0%@1377 APE 150 MTS fg 0% bg 0% AO@32.5C GPU@36C Tdiode@35.5C PMIC@100C AUX@32.5C CPU@34.5C thermal@33.85C Tboard@33C GPU 4652/4652 CPU 620/620 SOC 2171/2171 CV 0/0 VDDRQ 310/310 SYS5V 2250/2250
RAM 1489/15815MB (lfb 3395x4MB) SWAP 0/7907MB (cached 0MB) CPU [25%@1190,12%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1419] EMC_FREQ 0%@2133 GR3D_FREQ 0%@1377 APE 150 MTS fg 0% bg 2% AO@32.5C GPU@36C Tdiode@35.5C PMIC@100C AUX@32.5C CPU@34.5C thermal@33.85C Tboard@33C GPU 4652/4652 CPU 620/620 SOC 2171/2171 CV 0/0 VDDRQ 310/310 SYS5V 2250/2250
RAM 1489/15815MB (lfb 3395x4MB) SWAP 0/7907MB (cached 0MB) CPU [25%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1409] EMC_FREQ 0%@2133 GR3D_FREQ 0%@1377 APE 150 MTS fg 0% bg 0% AO@32.5C GPU@36C Tdiode@35.5C PMIC@100C AUX@33C CPU@34.5C thermal@33.85C Tboard@33C GPU 4652/4652 CPU 620/620 SOC 2171/2171 CV 0/0 VDDRQ 155/271 SYS5V 2250/2250
RAM 1489/15815MB (lfb 3395x4MB) SWAP 0/7907MB (cached 0MB) CPU [14%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0%@2133 GR3D_FREQ 0%@1377 APE 150 MTS fg 0% bg 0% AO@32.5C GPU@36C Tdiode@35.5C PMIC@100C AUX@32.5C CPU@34.5C thermal@33.85C Tboard@33C GPU 4652/4652 CPU 620/620 SOC 2171/2171 CV 0/0 VDDRQ 155/248 SYS5V 2250/2250
RAM 1489/15815MB (lfb 3395x4MB) SWAP 0/7907MB (cached 0MB) CPU [14%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1339,0%@1367] EMC_FREQ 0%@2133 GR3D_FREQ 0%@1377 APE 150 MTS fg 0% bg 1% AO@32.5C GPU@36C Tdiode@35.5C PMIC@100C AUX@32.5C CPU@34.5C thermal@33.85C Tboard@33C GPU 4652/4652 CPU 620/620 SOC 2171/2171 CV 0/0 VDDRQ 155/232 SYS5V 2210/2243
RAM 1489/15815MB (lfb 3395x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,14%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1408] EMC_FREQ 0%@2133 GR3D_FREQ 0%@1377 APE 150 MTS fg 0% bg 1% AO@32.5C GPU@36C Tdiode@35.5C PMIC@100C AUX@32.5C CPU@34.5C thermal@33.85C Tboard@33C GPU 4652/4652 CPU 620/620 SOC 2171/2171 CV 0/0 VDDRQ 155/221 SYS5V 2210/2238
RAM 1489/15815MB (lfb 3395x4MB) SWAP 0/7907MB (cached 0MB) CPU [25%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0%@2133 GR3D_FREQ 0%@1377 APE 150 MTS fg 0% bg 0% AO@32.5C GPU@36C Tdiode@35.5C PMIC@100C AUX@32.5C CPU@34.5C thermal@33.85C Tboard@33C GPU 4652/4652 CPU 620/620 SOC 2171/2171 CV 0/0 VDDRQ 310/232 SYS5V 2210/2235
RAM 1489/15815MB (lfb 3395x4MB) SWAP 0/7907MB (cached 0MB) CPU [14%@1190,22%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1344,0%@1344] EMC_FREQ 0%@2133 GR3D_FREQ 0%@1377 APE 150 MTS fg 0% bg 1% AO@32.5C GPU@36C Tdiode@35.25C PMIC@100C AUX@33C CPU@34.5C thermal@34.15C Tboard@33C GPU 4652/4652 CPU 620/620 SOC 2171/2171 CV 0/0 VDDRQ 310/241 SYS5V 2210/2232
RAM 1489/15815MB (lfb 3395x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,14%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0%@2133 GR3D_FREQ 0%@1377 APE 150 MTS fg 0% bg 1% AO@32.5C GPU@36C Tdiode@35.25C PMIC@100C AUX@33C CPU@34.5C thermal@34.15C Tboard@33C GPU 4652/4652 CPU 620/620 SOC 2171/2171 CV 0/0 VDDRQ 310/248 SYS5V 2210/2230
RAM 1489/15815MB (lfb 3395x4MB) SWAP 0/7907MB (cached 0MB) CPU [14%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1340,0%@1344] EMC_FREQ 0%@2133 GR3D_FREQ 0%@1377 APE 150 MTS fg 0% bg 0% AO@32.5C GPU@36C Tdiode@35.25C PMIC@100C AUX@32.5C CPU@34.5C thermal@34.15C Tboard@33C GPU 4652/4652 CPU 465/605 SOC 2171/2171 CV 0/0 VDDRQ 310/253 SYS5V 2210/2228
