RAM 1489/15815MB (lfb 3394x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,12%@1190,12%@1266,0%@1267] EMC_FREQ 0%@2133 GR3D_FREQ 0%@1377 APE 150 MTS fg 0% bg 1% AO@34C GPU@37.5C Tdiode@37C PMIC@100C AUX@34C CPU@36C thermal@35.85C Tboard@35C GPU 4652/4652 CPU 620/620 SOC 2171/2171 CV 0/0 VDDRQ 310/310 SYS5V 2250/2250
RAM 1489/15815MB (lfb 3394x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,14%@1190,0%@1190,0%@1190,0%@1344,0%@1344] EMC_FREQ 0%@2133 GR3D_FREQ 0%@1377 APE 150 MTS fg 0% bg 2% AO@34C GPU@37.5C Tdiode@37C PMIC@100C AUX@34.5C CPU@36C thermal@35.85C Tboard@35C GPU 4652/4652 CPU 620/620 SOC 2171/2171 CV 0/0 VDDRQ 310/310 SYS5V 2250/2250
RAM 1489/15815MB (lfb 3394x4MB) SWAP 0/7907MB (cached 0MB) CPU [14%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1266] EMC_FREQ 0%@2133 GR3D_FREQ 0%@1377 APE 150 MTS fg 0% bg 0% AO@34C GPU@37.5C Tdiode@37C PMIC@100C AUX@34.5C CPU@36C thermal@35.85C Tboard@35C GPU 4652/4652 CPU 620/620 SOC 2171/2171 CV 0/0 VDDRQ 310/310 SYS5V 2250/2250
RAM 1489/15815MB (lfb 3394x4MB) SWAP 0/7907MB (cached 0MB) CPU [14%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1267] EMC_FREQ 0%@2133 GR3D_FREQ 0%@1377 APE 150 MTS fg 0% bg 1% AO@34C GPU@37.5C Tdiode@37C PMIC@100C AUX@34C CPU@36C thermal@35.85C Tboard@35C GPU 4652/4652 CPU 620/620 SOC 2171/2171 CV 0/0 VDDRQ 310/310 SYS5V 2250/2250
RAM 1489/15815MB (lfb 3394x4MB) SWAP 0/7907MB (cached 0MB) CPU [14%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1344] EMC_FREQ 0%@2133 GR3D_FREQ 0%@1377 APE 150 MTS fg 0% bg 0% AO@34C GPU@37.5C Tdiode@37C PMIC@100C AUX@34C CPU@36C thermal@35.85C Tboard@35C GPU 4652/4652 CPU 620/620 SOC 2171/2171 CV 0/0 VDDRQ 155/279 SYS5V 2250/2250
RAM 1489/15815MB (lfb 3394x4MB) SWAP 0/7907MB (cached 0MB) CPU [14%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1340] EMC_FREQ 0%@2133 GR3D_FREQ 0%@1377 APE 150 MTS fg 0% bg 0% AO@34C GPU@37.5C Tdiode@36.75C PMIC@100C AUX@34.5C CPU@36C thermal@35.85C Tboard@35C GPU 4652/4652 CPU 620/620 SOC 2171/2171 CV 0/0 VDDRQ 155/258 SYS5V 2250/2250
RAM 1489/15815MB (lfb 3394x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1413] EMC_FREQ 0%@2133 GR3D_FREQ 0%@1377 APE 150 MTS fg 0% bg 0% AO@34C GPU@37C Tdiode@36.75C PMIC@100C AUX@34.5C CPU@36C thermal@35.7C Tboard@35C GPU 4652/4652 CPU 465/597 SOC 2171/2171 CV 0/0 VDDRQ 310/265 SYS5V 2250/2250
RAM 1489/15815MB (lfb 3394x4MB) SWAP 0/7907MB (cached 0MB) CPU [33%@1190,0%@1190,14%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1420] EMC_FREQ 0%@2133 GR3D_FREQ 0%@1377 APE 150 MTS fg 0% bg 0% AO@34C GPU@37.5C Tdiode@36.75C PMIC@100C AUX@34.5C CPU@36C thermal@35.7C Tboard@35C GPU 4652/4652 CPU 465/581 SOC 2171/2171 CV 0/0 VDDRQ 310/271 SYS5V 2210/2245
RAM 1489/15815MB (lfb 3394x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1413] EMC_FREQ 0%@2133 GR3D_FREQ 0%@1377 APE 150 MTS fg 0% bg 0% AO@34C GPU@37.5C Tdiode@37C PMIC@100C AUX@34C CPU@36C thermal@35.7C Tboard@35C GPU 4652/4652 CPU 465/568 SOC 2171/2171 CV 0/0 VDDRQ 155/258 SYS5V 2210/2241
RAM 1489/15815MB (lfb 3394x4MB) SWAP 0/7907MB (cached 0MB) CPU [14%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1415] EMC_FREQ 0%@2133 GR3D_FREQ 0%@1377 APE 150 MTS fg 0% bg 1% AO@34C GPU@37.5C Tdiode@37C PMIC@100C AUX@34.5C CPU@36C thermal@35.7C Tboard@35C GPU 4652/4652 CPU 465/558 SOC 2171/2171 CV 0/0 VDDRQ 310/263 SYS5V 2210/2238
RAM 1489/15815MB (lfb 3394x4MB) SWAP 0/7907MB (cached 0MB) CPU [14%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1339] EMC_FREQ 0%@2133 GR3D_FREQ 0%@1377 APE 150 MTS fg 0% bg 0% AO@34C GPU@37.5C Tdiode@37C PMIC@100C AUX@34.5C CPU@36C thermal@35.7C Tboard@35C GPU 4652/4652 CPU 465/549 SOC 2171/2171 CV 0/0 VDDRQ 310/267 SYS5V 2210/2235
