RAM 1408/15815MB (lfb 3410x4MB) SWAP 0/7907MB (cached 0MB) CPU [16%@1190,0%@1190,16%@1190,14%@1190,16%@1190,16%@1190,0%@1190,16%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@42C GPU@44C Tdiode@45.25C PMIC@100C AUX@43C CPU@45C thermal@43.6C Tboard@44C GPU 466/466 CPU 1088/1088 SOC 1243/1243 CV 0/0 VDDRQ 155/155 SYS5V 1688/1688
RAM 1408/15815MB (lfb 3410x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@42C GPU@44C Tdiode@45.25C PMIC@100C AUX@43C CPU@44.5C thermal@43.6C Tboard@44C GPU 621/543 CPU 932/1010 SOC 1399/1321 CV 0/0 VDDRQ 155/155 SYS5V 1728/1708
RAM 1408/15815MB (lfb 3410x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,14%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@42C GPU@44.5C Tdiode@45.25C PMIC@100C AUX@43C CPU@44.5C thermal@43.6C Tboard@44C GPU 621/569 CPU 932/984 SOC 1553/1398 CV 0/0 VDDRQ 155/155 SYS5V 1808/1741
RAM 1408/15815MB (lfb 3410x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@42C GPU@44C Tdiode@45.5C PMIC@100C AUX@43C CPU@44.5C thermal@43.6C Tboard@44C GPU 621/582 CPU 777/932 SOC 1553/1437 CV 0/0 VDDRQ 155/155 SYS5V 1889/1778
RAM 1408/15815MB (lfb 3410x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@42C GPU@44C Tdiode@45.5C PMIC@100C AUX@43C CPU@44.5C thermal@43.6C Tboard@44C GPU 776/621 CPU 776/901 SOC 1709/1491 CV 0/0 VDDRQ 155/155 SYS5V 1929/1808
RAM 1408/15815MB (lfb 3410x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@42C GPU@44C Tdiode@45.5C PMIC@100C AUX@43C CPU@44.5C thermal@43.6C Tboard@44C GPU 776/646 CPU 776/880 SOC 1709/1527 CV 0/0 VDDRQ 155/155 SYS5V 1969/1835
RAM 1408/15815MB (lfb 3410x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,14%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@42C GPU@44C Tdiode@45.5C PMIC@100C AUX@43C CPU@44.5C thermal@43.6C Tboard@44C GPU 776/665 CPU 776/865 SOC 1864/1575 CV 0/0 VDDRQ 155/155 SYS5V 2009/1860
RAM 1408/15815MB (lfb 3410x4MB) SWAP 0/7907MB (cached 0MB) CPU [14%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@42C GPU@44C Tdiode@45.25C PMIC@100C AUX@43C CPU@44.5C thermal@43.6C Tboard@44C GPU 776/679 CPU 776/854 SOC 1864/1611 CV 0/0 VDDRQ 155/155 SYS5V 2009/1878
RAM 1408/15815MB (lfb 3410x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@42C GPU@44.5C Tdiode@45.25C PMIC@100C AUX@43C CPU@44.5C thermal@43.6C Tboard@44C GPU 776/689 CPU 621/828 SOC 1864/1639 CV 0/0 VDDRQ 155/155 SYS5V 2049/1897
RAM 1408/15815MB (lfb 3410x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,14%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@42C GPU@44.5C Tdiode@45.25C PMIC@100C AUX@43C CPU@44.5C thermal@43.6C Tboard@44C GPU 776/698 CPU 621/807 SOC 2020/1677 CV 0/0 VDDRQ 155/155 SYS5V 2089/1916
RAM 1408/15815MB (lfb 3410x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,14%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@42C GPU@44C Tdiode@45.25C PMIC@100C AUX@43C CPU@44.5C thermal@43.6C Tboard@44C GPU 776/705 CPU 621/790 SOC 2020/1708 CV 0/0 VDDRQ 155/155 SYS5V 2089/1932
