RAM 1426/15815MB (lfb 3406x4MB) SWAP 0/7907MB (cached 0MB) CPU [16%@1190,16%@1190,0%@1190,0%@1190,16%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@45.5C GPU@47.5C Tdiode@48.75C PMIC@100C AUX@46.5C CPU@48C thermal@46.9C Tboard@47C GPU 621/621 CPU 1088/1088 SOC 1243/1243 CV 0/0 VDDRQ 155/155 SYS5V 1688/1688
RAM 1426/15815MB (lfb 3406x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@45.5C GPU@47.5C Tdiode@48.75C PMIC@100C AUX@46.5C CPU@48C thermal@46.9C Tboard@47C GPU 621/621 CPU 932/1010 SOC 1399/1321 CV 0/0 VDDRQ 155/155 SYS5V 1768/1728
RAM 1426/15815MB (lfb 3406x4MB) SWAP 0/7907MB (cached 0MB) CPU [16%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@45.5C GPU@47.5C Tdiode@48.75C PMIC@100C AUX@46.5C CPU@48C thermal@46.9C Tboard@47C GPU 621/621 CPU 932/984 SOC 1554/1398 CV 0/0 VDDRQ 155/155 SYS5V 1808/1754
RAM 1426/15815MB (lfb 3406x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,14%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@45.5C GPU@47.5C Tdiode@48.5C PMIC@100C AUX@46.5C CPU@48C thermal@46.9C Tboard@47C GPU 621/621 CPU 932/971 SOC 1709/1476 CV 0/0 VDDRQ 155/155 SYS5V 1889/1788
RAM 1426/15815MB (lfb 3406x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@45.5C GPU@47.5C Tdiode@48.5C PMIC@100C AUX@46.5C CPU@48C thermal@46.9C Tboard@47C GPU 776/652 CPU 777/932 SOC 1709/1522 CV 0/0 VDDRQ 155/155 SYS5V 1929/1816
RAM 1426/15815MB (lfb 3406x4MB) SWAP 0/7907MB (cached 0MB) CPU [16%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@45.5C GPU@47.5C Tdiode@48.5C PMIC@100C AUX@46.5C CPU@48C thermal@46.9C Tboard@47C GPU 776/672 CPU 776/906 SOC 1864/1579 CV 0/0 VDDRQ 155/155 SYS5V 1969/1841
RAM 1426/15815MB (lfb 3406x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@45.5C GPU@47.5C Tdiode@48.5C PMIC@100C AUX@46.5C CPU@48C thermal@47.25C Tboard@47C GPU 776/687 CPU 776/887 SOC 1864/1620 CV 0/0 VDDRQ 155/155 SYS5V 2009/1865
RAM 1426/15815MB (lfb 3406x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@45.5C GPU@47.5C Tdiode@48.5C PMIC@100C AUX@46.5C CPU@48C thermal@47.25C Tboard@47C GPU 776/698 CPU 776/873 SOC 1864/1650 CV 0/0 VDDRQ 155/155 SYS5V 2049/1888
RAM 1426/15815MB (lfb 3406x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@45.5C GPU@47.5C Tdiode@48.75C PMIC@100C AUX@46.5C CPU@48C thermal@47.25C Tboard@47C GPU 776/707 CPU 776/862 SOC 2020/1691 CV 0/0 VDDRQ 155/155 SYS5V 2049/1906
RAM 1426/15815MB (lfb 3406x4MB) SWAP 0/7907MB (cached 0MB) CPU [14%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@45.5C GPU@47.5C Tdiode@48.75C PMIC@100C AUX@46.5C CPU@48C thermal@47.25C Tboard@47C GPU 776/714 CPU 621/838 SOC 2020/1724 CV 0/0 VDDRQ 155/155 SYS5V 2089/1924
RAM 1426/15815MB (lfb 3406x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,14%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@45.5C GPU@47.5C Tdiode@48.75C PMIC@100C AUX@46.5C CPU@48C thermal@47.25C Tboard@47C GPU 932/733 CPU 621/818 SOC 2020/1751 CV 0/0 VDDRQ 155/155 SYS5V 2130/1943
