RAM 1435/15815MB (lfb 3403x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,14%@1190,0%@1190,0%@1190,0%@1190,14%@1190,16%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@39.5C GPU@41.5C Tdiode@42.5C PMIC@100C AUX@40C CPU@41.5C thermal@40.9C Tboard@42C GPU 931/931 CPU 621/621 SOC 2174/2174 CV 0/0 VDDRQ 310/310 SYS5V 2250/2250
RAM 1435/15815MB (lfb 3403x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@39.5C GPU@41.5C Tdiode@42.5C PMIC@100C AUX@40C CPU@41.5C thermal@40.9C Tboard@42C GPU 931/931 CPU 621/621 SOC 2174/2174 CV 0/0 VDDRQ 155/232 SYS5V 2250/2250
RAM 1435/15815MB (lfb 3403x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,14%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@39.5C GPU@41.5C Tdiode@42.5C PMIC@100C AUX@40C CPU@41.5C thermal@40.9C Tboard@42C GPU 931/931 CPU 621/621 SOC 2174/2174 CV 0/0 VDDRQ 155/206 SYS5V 2250/2250
RAM 1435/15815MB (lfb 3403x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,14%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@39.5C GPU@41.5C Tdiode@42.5C PMIC@100C AUX@40C CPU@41.5C thermal@40.9C Tboard@42C GPU 931/931 CPU 621/621 SOC 2174/2174 CV 0/0 VDDRQ 310/232 SYS5V 2210/2240
RAM 1435/15815MB (lfb 3403x4MB) SWAP 0/7907MB (cached 0MB) CPU [14%@1190,0%@1190,0%@1190,0%@1190,14%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@39.5C GPU@41.5C Tdiode@42.5C PMIC@100C AUX@40C CPU@41.5C thermal@40.9C Tboard@42C GPU 931/931 CPU 621/621 SOC 2174/2174 CV 0/0 VDDRQ 310/248 SYS5V 2210/2234
RAM 1435/15815MB (lfb 3403x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@39.5C GPU@41C Tdiode@42.5C PMIC@100C AUX@40C CPU@41.5C thermal@40.9C Tboard@42C GPU 931/931 CPU 621/621 SOC 2174/2174 CV 0/0 VDDRQ 310/258 SYS5V 2250/2236
RAM 1435/15815MB (lfb 3403x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@39.5C GPU@41C Tdiode@42.5C PMIC@100C AUX@40C CPU@41.5C thermal@40.9C Tboard@42C GPU 931/931 CPU 621/621 SOC 2174/2174 CV 0/0 VDDRQ 310/265 SYS5V 2210/2232
RAM 1435/15815MB (lfb 3403x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@39.5C GPU@41.5C Tdiode@42.5C PMIC@100C AUX@40C CPU@41.5C thermal@40.9C Tboard@42C GPU 931/931 CPU 621/621 SOC 2174/2174 CV 0/0 VDDRQ 310/271 SYS5V 2250/2235
RAM 1435/15815MB (lfb 3403x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@39.5C GPU@41.5C Tdiode@42.5C PMIC@100C AUX@40C CPU@41.5C thermal@40.9C Tboard@42C GPU 931/931 CPU 465/603 SOC 2174/2174 CV 0/0 VDDRQ 155/258 SYS5V 2250/2236
RAM 1435/15815MB (lfb 3403x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@39.5C GPU@41C Tdiode@42.5C PMIC@100C AUX@40C CPU@41.5C thermal@40.9C Tboard@42C GPU 931/931 CPU 465/589 SOC 2174/2174 CV 0/0 VDDRQ 310/263 SYS5V 2210/2234
RAM 1435/15815MB (lfb 3403x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@39.5C GPU@41.5C Tdiode@42.5C PMIC@100C AUX@40C CPU@41.5C thermal@40.9C Tboard@42C GPU 931/931 CPU 465/578 SOC 2174/2174 CV 0/0 VDDRQ 310/267 SYS5V 2250/2235
