RAM 2029/15815MB (lfb 3228x4MB) SWAP 0/7907MB (cached 0MB) CPU [25%@1420,0%@1420,0%@1420,0%@1420,28%@1420,0%@1420,0%@1420,0%@1420] EMC_FREQ 0% GR3D_FREQ 96% AO@40C GPU@42.5C Tdiode@43C PMIC@100C AUX@41C CPU@42.5C thermal@41.9C Tboard@42C GPU 1396/1396 CPU 776/776 SOC 2172/2172 CV 0/0 VDDRQ 310/310 SYS5V 2290/2290
RAM 2029/15815MB (lfb 3228x4MB) SWAP 0/7907MB (cached 0MB) CPU [16%@1190,0%@1190,14%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 76% AO@40C GPU@42.5C Tdiode@43C PMIC@100C AUX@41C CPU@42.5C thermal@41.9C Tboard@42C GPU 1706/1551 CPU 776/776 SOC 2172/2172 CV 0/0 VDDRQ 310/310 SYS5V 2290/2290
RAM 2029/15815MB (lfb 3228x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,14%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 97% AO@40C GPU@42.5C Tdiode@43C PMIC@100C AUX@41C CPU@42.5C thermal@41.9C Tboard@42C GPU 2016/1706 CPU 620/724 SOC 2171/2171 CV 0/0 VDDRQ 310/310 SYS5V 2290/2290
RAM 2058/15815MB (lfb 3218x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,14%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 96% AO@45C GPU@48C Tdiode@48.5C PMIC@100C AUX@46.5C CPU@48C thermal@47.25C Tboard@47C GPU 1552/1552 CPU 776/776 SOC 2328/2328 CV 0/0 VDDRQ 310/310 SYS5V 2290/2290
RAM 2058/15815MB (lfb 3218x4MB) SWAP 0/7907MB (cached 0MB) CPU [16%@1190,28%@1190,16%@1190,14%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 82% AO@45.5C GPU@48.5C Tdiode@48.5C PMIC@100C AUX@46.5C CPU@48.5C thermal@47.25C Tboard@47C GPU 1861/1706 CPU 776/776 SOC 2328/2328 CV 0/0 VDDRQ 310/310 SYS5V 2290/2290
RAM 2058/15815MB (lfb 3218x4MB) SWAP 0/7907MB (cached 0MB) CPU [14%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,16%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 96% AO@45.5C GPU@48.5C Tdiode@48.5C PMIC@100C AUX@46C CPU@48C thermal@47.25C Tboard@47C GPU 2171/1861 CPU 776/776 SOC 2327/2327 CV 0/0 VDDRQ 310/310 SYS5V 2290/2290
RAM 2060/15815MB (lfb 3218x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 97% AO@32.5C GPU@35C Tdiode@36C PMIC@100C AUX@33.5C CPU@35C thermal@34.4C Tboard@34C GPU 1396/1396 CPU 620/620 SOC 2172/2172 CV 0/0 VDDRQ 310/310 SYS5V 2451/2451
RAM 2060/15815MB (lfb 3218x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,33%@1190,14%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 78% AO@33C GPU@35.5C Tdiode@36C PMIC@100C AUX@33.5C CPU@35.5C thermal@34.4C Tboard@34C GPU 1706/1551 CPU 620/620 SOC 2327/2249 CV 0/0 VDDRQ 310/310 SYS5V 2451/2451
RAM 2060/15815MB (lfb 3218x4MB) SWAP 0/7907MB (cached 0MB) CPU [14%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,14%@1190] EMC_FREQ 0% GR3D_FREQ 97% AO@33C GPU@35.5C Tdiode@36C PMIC@100C AUX@33.5C CPU@35.5C thermal@34.4C Tboard@34C GPU 2016/1706 CPU 620/620 SOC 2327/2275 CV 0/0 VDDRQ 310/310 SYS5V 2451/2451
RAM 2069/15815MB (lfb 3215x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@40.5C GPU@43C Tdiode@43.75C PMIC@100C AUX@41.5C CPU@43.5C thermal@42.55C Tboard@42C GPU 1086/1086 CPU 621/621 SOC 2173/2173 CV 0/0 VDDRQ 310/310 SYS5V 2290/2290
RAM 2069/15815MB (lfb 3215x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@40.5C GPU@43C Tdiode@43.75C PMIC@100C AUX@41.5C CPU@43.5C thermal@42.55C Tboard@42C GPU 1086/1086 CPU 621/621 SOC 2173/2173 CV 0/0 VDDRQ 310/310 SYS5V 2290/2290
