RAM 2032/15815MB (lfb 3228x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1804,0%@1804,0%@1804,0%@1804,14%@1804,0%@1804,0%@1804,16%@1804] EMC_FREQ 0% GR3D_FREQ 99% AO@40C GPU@43C Tdiode@43.5C PMIC@100C AUX@41C CPU@43C thermal@41.9C Tboard@42C GPU 1552/1552 CPU 620/620 SOC 2172/2172 CV 0/0 VDDRQ 310/310 SYS5V 2290/2290
RAM 2032/15815MB (lfb 3228x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,14%@1190,14%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 85% AO@40C GPU@43C Tdiode@43.5C PMIC@100C AUX@41C CPU@42.5C thermal@41.9C Tboard@42C GPU 1861/1706 CPU 620/620 SOC 2172/2172 CV 0/0 VDDRQ 310/310 SYS5V 2290/2290
RAM 2032/15815MB (lfb 3228x4MB) SWAP 0/7907MB (cached 0MB) CPU [14%@1267,0%@1267,14%@1267,0%@1267,0%@1267,33%@1267,0%@1267,0%@1267] EMC_FREQ 0% GR3D_FREQ 99% AO@40C GPU@43C Tdiode@43.5C PMIC@100C AUX@41C CPU@43C thermal@41.9C Tboard@42C GPU 2171/1861 CPU 775/671 SOC 2327/2223 CV 0/0 VDDRQ 310/310 SYS5V 2290/2290
RAM 2060/15815MB (lfb 3218x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 99% AO@45.5C GPU@48.5C Tdiode@49C PMIC@100C AUX@46.5C CPU@48.5C thermal@47.55C Tboard@47C GPU 1552/1552 CPU 620/620 SOC 2328/2328 CV 0/0 VDDRQ 310/310 SYS5V 2287/2287
RAM 2060/15815MB (lfb 3218x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,14%@1190,33%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 84% AO@45.5C GPU@48.5C Tdiode@49C PMIC@100C AUX@46.5C CPU@48.5C thermal@47.55C Tboard@47C GPU 1861/1706 CPU 776/698 SOC 2328/2328 CV 0/0 VDDRQ 310/310 SYS5V 2287/2287
RAM 2060/15815MB (lfb 3218x4MB) SWAP 0/7907MB (cached 0MB) CPU [28%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 99% AO@45.5C GPU@48.5C Tdiode@49C PMIC@100C AUX@46.5C CPU@48.5C thermal@47.55C Tboard@47C GPU 2171/1861 CPU 776/724 SOC 2327/2327 CV 0/0 VDDRQ 310/310 SYS5V 2287/2287
RAM 2063/15815MB (lfb 3218x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 99% AO@33C GPU@36C Tdiode@36.25C PMIC@100C AUX@34C CPU@35.5C thermal@35.05C Tboard@35C GPU 1552/1552 CPU 620/620 SOC 2328/2328 CV 0/0 VDDRQ 310/310 SYS5V 2451/2451
RAM 2063/15815MB (lfb 3218x4MB) SWAP 0/7907MB (cached 0MB) CPU [14%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 99% AO@33C GPU@36C Tdiode@36.25C PMIC@100C AUX@34C CPU@35.5C thermal@35.05C Tboard@35C GPU 1861/1706 CPU 620/620 SOC 2327/2327 CV 0/0 VDDRQ 310/310 SYS5V 2451/2451
RAM 2063/15815MB (lfb 3218x4MB) SWAP 0/7907MB (cached 0MB) CPU [16%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 99% AO@33C GPU@36C Tdiode@36.25C PMIC@100C AUX@34C CPU@35.5C thermal@35.05C Tboard@35C GPU 2171/1861 CPU 620/620 SOC 2327/2327 CV 0/0 VDDRQ 310/310 SYS5V 2451/2451
RAM 2071/15815MB (lfb 3215x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@41C GPU@43.5C Tdiode@44C PMIC@100C AUX@42C CPU@43.5C thermal@42.6C Tboard@42C GPU 1086/1086 CPU 621/621 SOC 2328/2328 CV 0/0 VDDRQ 310/310 SYS5V 2290/2290
RAM 2071/15815MB (lfb 3215x4MB) SWAP 0/7907MB (cached 0MB) CPU [14%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,14%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@41C GPU@43C Tdiode@44C PMIC@100C AUX@41.5C CPU@43.5C thermal@42.6C Tboard@42C GPU 1086/1086 CPU 621/621 SOC 2328/2328 CV 0/0 VDDRQ 310/310 SYS5V 2290/2290
