RAM 2036/15815MB (lfb 3228x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1574,14%@1574,37%@1574,16%@1574,0%@1574,0%@1574,0%@1574,0%@1190] EMC_FREQ 0% GR3D_FREQ 99% AO@40.5C GPU@43C Tdiode@43.5C PMIC@100C AUX@41.5C CPU@43C thermal@42.4C Tboard@42C GPU 1396/1396 CPU 776/776 SOC 2328/2328 CV 0/0 VDDRQ 310/310 SYS5V 2290/2290
RAM 2036/15815MB (lfb 3228x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 99% AO@40.5C GPU@43C Tdiode@43.75C PMIC@100C AUX@41.5C CPU@43C thermal@42.4C Tboard@42C GPU 1706/1551 CPU 776/776 SOC 2327/2327 CV 0/0 VDDRQ 310/310 SYS5V 2290/2290
RAM 2036/15815MB (lfb 3228x4MB) SWAP 0/7907MB (cached 0MB) CPU [16%@1190,0%@1190,0%@1190,0%@1190,28%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 99% AO@40.5C GPU@43.5C Tdiode@43.75C PMIC@100C AUX@41.5C CPU@43C thermal@42.4C Tboard@42C GPU 2171/1757 CPU 775/775 SOC 2327/2327 CV 0/0 VDDRQ 310/310 SYS5V 2290/2290
RAM 2036/15815MB (lfb 3228x4MB) SWAP 0/7907MB (cached 0MB) CPU [14%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 99% AO@40.5C GPU@43.5C Tdiode@43.75C PMIC@100C AUX@41C CPU@43C thermal@42.4C Tboard@42C GPU 2327/1900 CPU 775/775 SOC 2327/2327 CV 0/0 VDDRQ 310/310 SYS5V 2290/2290
RAM 2036/15815MB (lfb 3228x4MB) SWAP 0/7907MB (cached 0MB) CPU [28%@1190,0%@1190,0%@1190,0%@1190,14%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 98% AO@40.5C GPU@43.5C Tdiode@43.75C PMIC@100C AUX@41.5C CPU@43C thermal@42.4C Tboard@42C GPU 2636/2047 CPU 620/744 SOC 2327/2327 CV 0/0 VDDRQ 310/310 SYS5V 2290/2290
RAM 2036/15815MB (lfb 3228x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 98% AO@40.5C GPU@43.5C Tdiode@43.75C PMIC@100C AUX@41C CPU@43C thermal@42.4C Tboard@42C GPU 2791/2171 CPU 620/723 SOC 2326/2327 CV 0/0 VDDRQ 310/310 SYS5V 2290/2290
RAM 2036/15815MB (lfb 3228x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 98% AO@40C GPU@43.5C Tdiode@43.75C PMIC@100C AUX@41.5C CPU@43C thermal@42.4C Tboard@42C GPU 2946/2281 CPU 620/708 SOC 2326/2326 CV 0/0 VDDRQ 310/310 SYS5V 2290/2290
RAM 2036/15815MB (lfb 3228x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 99% AO@40.5C GPU@43.5C Tdiode@43.75C PMIC@100C AUX@41.5C CPU@43C thermal@42.4C Tboard@42C GPU 3101/2384 CPU 620/697 SOC 2326/2326 CV 0/0 VDDRQ 310/310 SYS5V 2290/2290
RAM 2036/15815MB (lfb 3228x4MB) SWAP 0/7907MB (cached 0MB) CPU [16%@1190,0%@1190,0%@1190,16%@1190,0%@1190,14%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 99% AO@40.5C GPU@43.5C Tdiode@43.75C PMIC@100C AUX@41.5C CPU@43C thermal@42.4C Tboard@42C GPU 3256/2481 CPU 620/689 SOC 2326/2326 CV 0/0 VDDRQ 310/310 SYS5V 2290/2290
RAM 2036/15815MB (lfb 3228x4MB) SWAP 0/7907MB (cached 0MB) CPU [14%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 99% AO@40.5C GPU@43.5C Tdiode@43.75C PMIC@100C AUX@41.5C CPU@43C thermal@42.4C Tboard@42C GPU 3411/2574 CPU 620/682 SOC 2326/2326 CV 0/0 VDDRQ 310/310 SYS5V 2290/2290
RAM 2036/15815MB (lfb 3228x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,14%@1190,12%@1190,0%@1190,28%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 99% AO@40.5C GPU@43.5C Tdiode@43.75C PMIC@100C AUX@41.5C CPU@43C thermal@42.4C Tboard@42C GPU 3410/2650 CPU 620/676 SOC 2326/2326 CV 0/0 VDDRQ 310/310 SYS5V 2290/2290
