RAM 2068/15815MB (lfb 3215x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1267,20%@1190,14%@1190,0%@1190,0%@1190,14%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@40.5C GPU@42.5C Tdiode@44C PMIC@100C AUX@41.5C CPU@43C thermal@42.25C Tboard@42C GPU 310/310 CPU 777/777 SOC 932/932 CV 0/0 VDDRQ 155/155 SYS5V 1728/1728
RAM 2068/15815MB (lfb 3215x4MB) SWAP 0/7907MB (cached 0MB) CPU [16%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@40.5C GPU@42.5C Tdiode@44C PMIC@100C AUX@41.5C CPU@43C thermal@42.25C Tboard@42C GPU 310/310 CPU 777/777 SOC 932/932 CV 0/0 VDDRQ 155/155 SYS5V 1728/1728
RAM 2068/15815MB (lfb 3215x4MB) SWAP 0/7907MB (cached 0MB) CPU [28%@1190,16%@1190,0%@1190,0%@1190,0%@1190,0%@1190,14%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 25% AO@40.5C GPU@42.5C Tdiode@44C PMIC@100C AUX@41.5C CPU@43C thermal@42.25C Tboard@42C GPU 310/310 CPU 777/777 SOC 932/932 CV 0/0 VDDRQ 155/155 SYS5V 1728/1728
RAM 2068/15815MB (lfb 3215x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@40.5C GPU@42.5C Tdiode@43.75C PMIC@100C AUX@41.5C CPU@43C thermal@42.25C Tboard@42C GPU 310/310 CPU 777/777 SOC 932/932 CV 0/0 VDDRQ 155/155 SYS5V 1688/1718
RAM 2068/15815MB (lfb 3215x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,14%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@40.5C GPU@42.5C Tdiode@43.75C PMIC@100C AUX@41.5C CPU@43C thermal@42.25C Tboard@42C GPU 310/310 CPU 621/745 SOC 932/932 CV 0/0 VDDRQ 155/155 SYS5V 1688/1712
RAM 2068/15815MB (lfb 3215x4MB) SWAP 0/7907MB (cached 0MB) CPU [14%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,16%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@40.5C GPU@42.5C Tdiode@43.75C PMIC@100C AUX@41.5C CPU@43C thermal@42.25C Tboard@42C GPU 310/310 CPU 621/725 SOC 932/932 CV 0/0 VDDRQ 155/155 SYS5V 1688/1708
RAM 2068/15815MB (lfb 3215x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@41C GPU@42.5C Tdiode@43.75C PMIC@100C AUX@41.5C CPU@43C thermal@42.25C Tboard@42C GPU 310/310 CPU 621/710 SOC 932/932 CV 0/0 VDDRQ 155/155 SYS5V 1688/1705
RAM 2068/15815MB (lfb 3215x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@40.5C GPU@42.5C Tdiode@43.75C PMIC@100C AUX@41.5C CPU@43C thermal@42.25C Tboard@42C GPU 310/310 CPU 621/699 SOC 932/932 CV 0/0 VDDRQ 155/155 SYS5V 1688/1703
RAM 2068/15815MB (lfb 3215x4MB) SWAP 0/7907MB (cached 0MB) CPU [14%@1574,0%@1574,28%@1574,0%@1574,0%@1574,0%@1574,0%@1574,0%@1574] EMC_FREQ 0% GR3D_FREQ 0% AO@40.5C GPU@42.5C Tdiode@43.75C PMIC@100C AUX@41.5C CPU@43C thermal@42.25C Tboard@42C GPU 310/310 CPU 777/707 SOC 932/932 CV 0/0 VDDRQ 155/155 SYS5V 1688/1701
RAM 2068/15815MB (lfb 3215x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,14%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,14%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@40.5C GPU@42.5C Tdiode@43.75C PMIC@100C AUX@41.5C CPU@43C thermal@42.25C Tboard@42C GPU 310/310 CPU 777/714 SOC 932/932 CV 0/0 VDDRQ 155/155 SYS5V 1728/1704
RAM 2068/15815MB (lfb 3215x4MB) SWAP 0/7907MB (cached 0MB) CPU [16%@1190,16%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,14%@1190] EMC_FREQ 0% GR3D_FREQ 21% AO@40.5C GPU@42.5C Tdiode@43.75C PMIC@100C AUX@41.5C CPU@43C thermal@42.25C Tboard@42C GPU 310/310 CPU 777/720 SOC 932/932 CV 0/0 VDDRQ 155/155 SYS5V 1728/1706
