RAM 2069/15815MB (lfb 3215x4MB) SWAP 0/7907MB (cached 0MB) CPU [16%@1881,0%@1881,20%@1881,14%@1881,0%@1881,14%@1881,0%@1881,0%@1881] EMC_FREQ 0% GR3D_FREQ 5% AO@40.5C GPU@42.5C Tdiode@43.5C PMIC@100C AUX@41.5C CPU@43C thermal@42.25C Tboard@42C GPU 310/310 CPU 777/777 SOC 932/932 CV 0/0 VDDRQ 155/155 SYS5V 1728/1728
RAM 2069/15815MB (lfb 3215x4MB) SWAP 0/7907MB (cached 0MB) CPU [14%@1190,0%@1190,0%@1190,14%@1190,14%@1190,14%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@40C GPU@42.5C Tdiode@43.75C PMIC@100C AUX@41.5C CPU@43C thermal@42.25C Tboard@42C GPU 310/310 CPU 777/777 SOC 932/932 CV 0/0 VDDRQ 155/155 SYS5V 1728/1728
RAM 2069/15815MB (lfb 3215x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@40.5C GPU@42.5C Tdiode@43.75C PMIC@100C AUX@41.5C CPU@42.5C thermal@42.25C Tboard@42C GPU 310/310 CPU 777/777 SOC 932/932 CV 0/0 VDDRQ 155/155 SYS5V 1728/1728
RAM 2069/15815MB (lfb 3215x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@40.5C GPU@42C Tdiode@43.75C PMIC@100C AUX@41.5C CPU@43C thermal@42.25C Tboard@42C GPU 310/310 CPU 621/738 SOC 932/932 CV 0/0 VDDRQ 155/155 SYS5V 1688/1718
RAM 2069/15815MB (lfb 3215x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@40.5C GPU@42C Tdiode@43.75C PMIC@100C AUX@41.5C CPU@43C thermal@42.25C Tboard@42C GPU 310/310 CPU 621/714 SOC 932/932 CV 0/0 VDDRQ 155/155 SYS5V 1688/1712
RAM 2069/15815MB (lfb 3215x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@40.5C GPU@42.5C Tdiode@43.75C PMIC@100C AUX@41.5C CPU@42.5C thermal@42.25C Tboard@42C GPU 310/310 CPU 621/699 SOC 932/932 CV 0/0 VDDRQ 155/155 SYS5V 1688/1708
RAM 2069/15815MB (lfb 3215x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,16%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@40.5C GPU@42C Tdiode@43.75C PMIC@100C AUX@41.5C CPU@42.5C thermal@42.25C Tboard@42C GPU 310/310 CPU 621/687 SOC 777/909 CV 0/0 VDDRQ 155/155 SYS5V 1688/1705
RAM 2069/15815MB (lfb 3215x4MB) SWAP 0/7907MB (cached 0MB) CPU [14%@1190,0%@1190,14%@1190,0%@1190,14%@1190,0%@1190,14%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@40.5C GPU@42.5C Tdiode@43.75C PMIC@100C AUX@41.5C CPU@43C thermal@42.25C Tboard@42C GPU 310/310 CPU 777/699 SOC 932/912 CV 0/0 VDDRQ 155/155 SYS5V 1688/1703
RAM 2069/15815MB (lfb 3215x4MB) SWAP 0/7907MB (cached 0MB) CPU [14%@1190,0%@1190,0%@1190,14%@1190,0%@1190,14%@1190,0%@1190,0%@1420] EMC_FREQ 0% GR3D_FREQ 0% AO@40.5C GPU@42.5C Tdiode@43.75C PMIC@100C AUX@41.5C CPU@43C thermal@42.25C Tboard@42C GPU 310/310 CPU 777/707 SOC 932/914 CV 0/0 VDDRQ 155/155 SYS5V 1688/1701
RAM 2069/15815MB (lfb 3215x4MB) SWAP 0/7907MB (cached 0MB) CPU [16%@1344,0%@1344,0%@1344,0%@1344,0%@1344,0%@1344,0%@1344,0%@1344] EMC_FREQ 0% GR3D_FREQ 0% AO@40.5C GPU@42.5C Tdiode@43.75C PMIC@100C AUX@41.5C CPU@43C thermal@42.25C Tboard@42C GPU 310/310 CPU 777/714 SOC 932/916 CV 0/0 VDDRQ 155/155 SYS5V 1688/1700
RAM 2069/15815MB (lfb 3215x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@40.5C GPU@42.5C Tdiode@43.75C PMIC@100C AUX@41.5C CPU@43C thermal@42.25C Tboard@42C GPU 310/310 CPU 621/706 SOC 932/917 CV 0/0 VDDRQ 155/155 SYS5V 1688/1698
